"","EN","UA","COMM"
"3932","thromboplastin","тромбокіназа",NA
"3933","thrombosis","тромбоз","Spring_beauty"
"3934","thrombosis","закупорка",NA
"3935","thrombosis","закупорювання",NA
"3936","thrombotic","тромбозний",NA
"3937","thrombus","тромб",NA
"3938","throut sprayer","інгалятор",NA
"3939","thrush","пліснявка",NA
"3940","thrush","афтозний стоматит",NA
"3941","thunder squall","грозовий шквал",NA
"3942","thymic asthma","вилочкова астма",NA
"3943","thymocyte","тимоцит",NA
"3944","titrating apparatus","титрувальний апарат",NA
"3945","to blink","заморгати",NA
"3946","to boil","закипати",NA
"3947","to boil","закипіти",NA
"3948","to cough","закашляти",NA
"3949","to gnash","заскреготати",NA
"3950","to gnash","заскреготіти",NA
"3951","to itch","засвербіти",NA
"3952","to rattle","зацокотіти",NA
"3953","to scrape","зашкрябати",NA
"3954","to smoke","куриво",NA
"3955","to tremble","задрижати",NA
"3956","to whisper","зашепотіти",NA
"3957","to wink","закліпати",NA
"3958","toad skin","фринодерма",NA
"3959","tobacco use","паління","Brücke"
"3960","tocography","токографія",NA
"3961","tocology","токологія",NA
"3962","tolerability","переносимість","Yaroslav.cv"
"3963","tolerance","толерантність",NA
"3964","tomograph","томограф",NA
"3965","tone","тонус",NA
"3966","tone deafness","асонія",NA
"3967","tongue-tie","дислалія",NA
"3968","tonic","тонізуючий засіб",NA
"3969","tonic","зміцнюючий засіб",NA
"3970","tonic","тонізуючий",NA
"3971","tonic","зміцнюючий",NA
"3972","tonicity","добрий тонус",NA
"3973","tonometer","тонометр",NA
"3974","tonsilitis","жаба",NA
"3975","tonsillectomy","тонзилектомія",NA
"3976","tonsillectomy","вирізування гланд",NA
"3977","tonsillitic","тонзилітний",NA
"3978","tonsillitic","хворий на тонзиліт",NA
"3979","tonsillitis","тонзиліт",NA
"3980","tonsillitis","запалення мигдалин",NA
"3981","tonsillitis","ангіна",NA
"3982","tonsillitis","жаба",NA
"3983","tonsillotomy","тонзилектомія",NA
"3984","trachelotomy","розтин шийки матки",NA
"3985","tracheotomy","трахеотомія",NA
"3986","trachoma","трахома",NA
"3987","trachomatous","трахоматозний",NA
"3988","traction","витягування",NA
"3989","traction","тракція",NA
"3990","tractotomy","трактотомія",NA
"3991","trance","транс",NA
"3992","trance","непритомніти",NA
"3993","transdural","трансдуральний",NA
"3994","transfuse","робити переливання",NA
"3995","transfuse blood","переливати комусь кров",NA
"3996","transfusion","переливання",NA
"3997","transfusion","трансфузія",NA
"3998","transient action","транзиторна дія",NA
"3999","transillumination","просвічування",NA
"4000","transillumination","діафаноскопія",NA
"4001","transitivism","транзитивізм",NA
"4002","transmissible","інфекційний",NA
"4003","transmural","трансмуральний",NA
"4004","transplantology","трансплантологія",NA
"4005","transrectal scanning","трансректальне сканування",NA
"4006","transsexual","транссексуал",NA
"4007","transthoracal vagotomy","трансторакальна ваготомія",NA
"4008","transudate","транссудат",NA
"4009","transudation","транссудація",NA
"4010","transurethral biopsy","трансуретральна біопсія",NA
"4011","transvaginal","трансвагінальний",NA
"4012","trauma","травма",NA
"4013","traumatic","травматичний",NA
"4014","traumatic brain injury","черепно-мозкова травма","Anuvadak"
"4015","traumatic surgeon","травматолог",NA
"4016","traumatic surgeon","хірург-травматолог",NA
"4017","traumatic surgery","травматологія",NA
"4018","traumatize","травмувати",NA
"4019","treatment","допомога",NA
"4020","treatment given","проведене лікування","Anuvadak"
"4021","treatment room","процедурна",NA
"4022","trench-foot","траншейна стопа",NA
"4023","trepan","трепан",NA
"4024","tropical typhus","акамуші",NA
"4025","troubled depression","тривожна депресія",NA
"4026","true tumor","істинна пухлина",NA
"4027","truss","грижовий бандаж",NA
"4028","truss","бандаж",NA
"4029","tubal","трубний",NA
"4030","tuber","опухання",NA
"4031","tuberculation","утворення гороків",NA
"4032","tuberculoma","туберкулема",NA
"4033","tuberculosis","туберкульоз",NA
"4034","tuberculosis specialist","фтизіатр",NA
"4035","tuberosity","горбок",NA
"4036","tuberosity","вузлик",NA
"4037","tuberosity","кругле підвищення кістки",NA
"4038","tuberosity","горбкуватість",NA
"4039","tuberous","горокуватий",NA
"4040","tuberous","бугристий",NA
"4041","tubular","канальцевий",NA
"4042","tubular","каналікулярний",NA
"4043","tubule","каналець",NA
"4044","tumor","неоплазма",NA
"4045","tumor bed","ложе пухлини",NA
"4046","tumor formation","бластоматоз",NA
"4047","tumor formation","бластомогенез",NA
"4048","tumor formation","онкогенез",NA
"4049","tumor intoxication","пухлинна інтоксикація",NA
"4050","tumor mass","пухлинне утворення",NA
"4051","tumor-like","туморозний",NA
"4052","tumorous","пухлинний",NA
"4053","tumorous","опуховий",NA
"4054","tumorous","уражений опухом",NA
"4055","tumors","новоутворення",NA
"4056","tumour","опух",NA
"4057","tumour","пухлина",NA
"4058","tumour","новоутворення",NA
"4059","tumour","жовно",NA
"4060","tumour","неоплазма",NA
"4061","turbinotome","конхотом",NA
"4062","Turkish saddle","турецьке сідло","Anuvadak"
"4063","turn of life","клімактерій",NA
"4064","ulcerative","виразковий",NA
"4065","ulcerative colitis","виразковий коліт","Yuriy Sokha"
"4066","ulcerative colitis","НВК","Yuriy Sokha"
"4067","ulcerative colitis","неспецифічний виразковий коліт","Yuriy Sokha"
"4068","ulcerous","виразковий",NA
"4069","ulcerous","укритий виразками",NA
"4070","ulcus molle","шанкроїд",NA
"4071","ultrasonic therapy","ультрасонотерапія",NA
"4072","ultrasonic-frequency current therapy","ультрасонотерапія",NA
"4073","ultrasonography","ультрасонографія",NA
"4074","ultrasound","ультрасонографія",NA
"4075","umbilical hernia","пупкова грижа",NA
"4076","unavoidable hemorrhage","неминуча кровотеча",NA
"4077","uncooperative patient","неконтактний хворий",NA
"4078","undelivered","яка ще не народила",NA
"4079","under the skin","підшкірний",NA
"4080","underlying disease","основне захворювання","Lviv_linguist"
"4081","undetermined cause","невстановлена причина",NA
"4082","undue fatiguability","підвищена втомлюваність",NA
"4083","uneasy","тривожна депресія",NA
"4084","union","зрощування",NA
"4085","uniovular","однояйцевий",NA
"4086","universal alopecia","генералізована алопеція",NA
"4087","unjaundiced","не уражений жовтяницею",NA
"4088","unload","звільняти",NA
"4089","unload","очищати",NA
"4090","unremarkable","без особливостей","Anuvadak"
"4091","unsounded","необслуханий",NA
"4092","upper air passages","верхні дихальні шляхи",NA
"4093","upper airways","верхні дихальні шляхи",NA
"4094","upset stomach","нетравлення","Anuvadak"
"4095","upset stomach","розлад шлунка","Anuvadak"
"4096","urachus","урахус",NA
"4097","uraemia","уремія",NA
"4098","uraemic","уремічний",NA
"4099","uraniscorrhaphy","палаторафія",NA
"4100","uranoplasty","палатопластика",NA
"4101","uranorrhaphy","палаторафія",NA
"4102","urari","кураре",NA
"4103","uraturia","уратурія",NA
"4104","uvulitis","запалення язичка",NA
"4105","uvulitis","увуліт",NA
"4106","vaccinal","вакцинний",NA
"4107","vaccinal","що стосується вакцинації",NA
"4108","vaccinal","вакцинальний",NA
"4109","vaccinal fever","вакцинальна пропасниця",NA
"4110","vaccinal prevention","вакцинопрофілактика",NA
"4111","vaccinate","щепити","Yuriy Sokha"
"4112","vaccinate","вакцинувати","Yuriy Sokha"
"4113","vaccinate","щепити віспу",NA
"4114","vaccinate","робити щеплення",NA
"4115","vaccinate","застосовувати вакцину",NA
"4116","vaccination","щеплення віспи",NA
"4117","vaccination","вакцинація",NA
"4118","vaccination","щеплення",NA
"4119","vaccination rash","вакцинальний висип",NA
"4120","vaccinator","особа, що робить щеплення",NA
"4121","vertigo","головокружіння",NA
"4122","very low-density lipoproteins","ліпопротеїни дуже низької щільності","Anuvadak"
"4123","weakness of mind","слабоумство",NA
"4124","wrench","вивихнути",NA
"4125","dissociation of personality","роздвоєння особистості",NA
"4126","dissolve","розсмоктатися",NA
"4127","dissolve","розсмоктуватися",NA
"4128","distinctive abnormality","характерний розлад",NA
"4129","distortion","дисторсія",NA
"4130","distortion","розтягнення",NA
"4131","drug defibrillation","медикаментозна дефібриляція серця",NA
"4132","drug eruption","медикаментозний дерматит",NA
"4133","drug rash","медикаментозний дерматит",NA
"4134","drug therapy","лікарська терапія",NA
"4135","e-prescribing","електронне призначення","Yanamahan"
"4136","ear specialist","отоларинголог",NA
"4137","elephantiasis","слонова хвороба",NA
"4138","elephantiasis","елефантіаз",NA
"4139","elimination","виведення","Lviv_linguist"
"4140","elimination halflife","період напіввиведення","Lviv_linguist"
"4141","eliminative gastritis","видільний гастрит",NA
"4142","elliptocytosis","овалоцитоз",NA
"4143","elongation","розтягнення",NA
"4144","emaciation","сухотка",NA
"4145","emasculation","емаскуляція",NA
"4146","embedded","залитий",NA
"4147","embole","емболія",NA
"4148","embrocation","розтирання",NA
"4149","embryoma of kidney","аденоміосаркома",NA
"4150","embryoma of kidney","нефробластома",NA
"4151","embryoma of kidney","нефрома",NA
"4152","embryonic stage","зародковий стан",NA
"4153","embryotomy","ембріотомія",NA
"4154","embryotomy","розтин зародка",NA
"4155","emergency","тяжкий стан хворого",NA
"4156","emergency care","екстрена допомога","Anuvadak"
"4157","emergency operation","невідкладна операція",NA
"4158","emergency station","пункт першої допомоги",NA
"4159","emergency surgery","ургентна хірургія",NA
"4160","emergent","що росте з порожнини",NA
"4161","emesis","блювота",NA
"4162","emissarium","емісарій",NA
"4163","emulgence","видоювання",NA
"4164","emulgence","дренаж",NA
"4165","encapsulated","осумкований",NA
"4166","encapsulation","осумкування",NA
"4167","encephalic","головний",NA
"4168","encephalitic","енцефалітний",NA
"4169","endermatic","інтракутанний",NA
"4170","endermic","внутрішкіряний",NA
"4171","endermic","інтракутанний",NA
"4172","endocarditis","ендокардит",NA
"4173","endocrinology","ендокринологія",NA
"4174","endometriosis","ендометріоз",NA
"4175","endometriosis genitalis externa","строматоз",NA
"4176","endoplasm","ендоплазма",NA
"4177","endoscope","ендоскоп",NA
"4178","endosteitis","ендостеїт",NA
"4179","endostitis","ендостеїт",NA
"4180","endothelial myeloma","омобластома",NA
"4181","enema","клізма",NA
"4182","engorge","наливатися кров'ю",NA
"4183","engorge","наливатися",NA
"4184","engorge","налитися",NA
"4185","engorgement","застій",NA
"4186","engorgement","гіперемія",NA
"4187","engraving stylus","гравірувальний різець",NA
"4188","enkephalins","енкефаліни",NA
"4189","enlargement plasty","збільшувальна пластика","Yanamahan"
"4190","enophthalmia","енофтальм",NA
"4191","enophthalmos","енофтальм",NA
"4192","enorganic","властивий організмові",NA
"4193","enostosis","еностоз",NA
"4194","enteric","черевний тиф",NA
"4195","enteric cyst","ентеральна киста",NA
"4196","enteric feeding tube","зонд для харчування",NA
"4197","eosinophilic leukemia","еозинофільний лейкоз",NA
"4198","ependymitis","епендиматит",NA
"4199","epicanthus","епікантус",NA
"4200","epilepsy","падуча",NA
"4201","epilepsy","хвороба",NA
"4202","epileptic","епілептичний",NA
"4203","epileptic","припадковий",NA
"4204","epileptic fit","епілептичний напад",NA
"4205","epileptic seizure","епілептичний напад",NA
"4206","epileptoid","схожий на епілепсію",NA
"4207","epimenorrhea","пройоменорея",NA
"4208","epiphenomenon","вторинне патологічне явище",NA
"4209","epiphora","сльозотеча",NA
"4210","eponychium","епоніхій",NA
"4211","Epstein-Barr virus","вірус Епштейна-Барр","Anuvadak"
"4212","equal pulse","рівномірний пульс",NA
"4213","equivocal result","сумнівний результат",NA
"4214","equivocal symptom","симптом, властивий кільком захворюванням",NA
"4215","erasion","видалення ураженої тканини",NA
"4216","erasion","зіскоблювання ураженої тканини",NA
"4217","Erb's disease","ювенільна міопатія",NA
"4218","erectile tumor","кавернома",NA
"4219","erethism","еретизм",NA
"4220","erethism","підвищена збудливість",NA
"4221","ergotism","отруєння ріжками",NA
"4222","ergotism","ерготизм",NA
"4223","erodent","їдкий",NA
"4224","erodent","що роз'їдає",NA
"4225","erotic delusion","любовне марення",NA
"4226","esophagitis","езофагіт",NA
"4227","esophagography","езофагографія",NA
"4228","esophagoscope","езофагоскоп",NA
"4229","esophagostomy","езофагостомія",NA
"4230","evacuate","видаляти",NA
"4231","evacuate","відсмоктувати",NA
"4232","evacuate","висмоктувати",NA
"4233","evacuate","відкачувати",NA
"4234","evacuate the bowels","випорожнитися",NA
"4235","evacuate the bowels","випорожнятися",NA
"4236","evacuation","очищення",NA
"4237","evacuation of the bowels","очищення кишечнику",NA
"4238","evaginate","випинати",NA
"4239","eviration","набуття чоловіком жіночих рис",NA
"4240","eviration","набуття рис характеру іншої статі",NA
"4241","eviscerate","виймати нутрощі для огляду",NA
"4242","evisceration","екзентерація",NA
"4243","evisceration","виймання нутрощів",NA
"4244","evisceration","випадіння внутрішніх органів",NA
"4245","evisceration","евісцерація",NA
"4246","evoked pain","спровокований біль",NA
"4247","Ewing's sarcoma","омобластома",NA
"4248","Ewing's tumor","омобластома",NA
"4249","exacerbate","загострювати",NA
"4250","exacerbation","пароксизм",NA
"4251","exacerbation","загострення",NA
"4252","exacerbation","екзацербація",NA
"4253","exact diagnosis","точний діагноз",NA
"4254","exacted diagnosis","уточнений діагноз",NA
"4255","exaggerated","ненормально розширений",NA
"4256","exaggerated","ненормально збільшений",NA
"4257","examination","вислухування",NA
"4258","exenteration","видалення нутрощів",NA
"4259","exercise tolerance","витривалість до фізичного навантаження",NA
"4260","exhibit","давати ліки",NA
"4261","exhibition","призначення ліків",NA
"4262","exhibitionism","ексгібіціонізм",NA
"4263","explant","експлантат","Yuriy Sokha"
"4264","exploration","експлорація",NA
"4265","exploratory puncture","діагностична пункція",NA
"4266","explore","зондувати",NA
"4267","explore","обстежувати",NA
"4268","explorer","зонд",NA
"4269","exposure chamber","камера опромінення",NA
"4270","expulsion","виштовхування",NA
"4271","expulsion of (intestinal) worms","вигнання глистів",NA
"4272","exsanguine","анемічний",NA
"4273","exsanguinity","анемія",NA
"4274","extension","випрямляння",NA
"4275","extension apparatus","пристосування для витягування",NA
"4276","extension-bed","ортопедичне ліжко",NA
"4277","extension-bed","випрямний апарат",NA
"4278","extension-table","розсувний стіл",NA
"4279","extent of examinations","обсяг досліджень",NA
"4280","external cardiac massage","непрямий масаж серця",NA
"4281","external medicine","зовнішні ліки",NA
"4282","external neurolysis","екзоневроліз",NA
"4283","external parasite","зовнішній паразит",NA
"4284","external prosthesis","ектопротез",NA
"4285","external respiration","зовнішнє дихання",NA
"4286","exteroreceptor","екстерорецептор",NA
"4287","extravasation","синець",NA
"4288","extravasation","вилив крові",NA
"4289","extravasation","вилив лімфи",NA
"4290","extravasation","екстравазація",NA
"4291","extremity lengthening","подовження кінцівки",NA
"4292","extremity stretching","подовження кінцівки",NA
"4293","extrophy","екстрофія",NA
"4294","extroversion","виворіт",NA
"4295","extubation","екстубація",NA
"4296","exudate","випіт",NA
"4297","exudate","ексудат",NA
"4298","exudate","випотівати",NA
"4299","eye-wash","примочка для очей",NA
"4300","face-ache","невралгія лицьового нерва",NA
"4301","face-mask","дихальна маска",NA
"4302","facial muscles","м'язи обличчя",NA
"4303","facial numbness","онімілість обличчя",NA
"4304","facial palsy","параліч лицьового нерва",NA
"4305","facility","заклад","Anuvadak"
"4306","factitious urticaria","дермографізм",NA
"4307","failed operation","невдала операція",NA
"4308","fall of temperature","зниження температури",NA
"4309","fall of temperature","похолодання",NA
"4310","fall of temperature","похолодіння",NA
"4311","falling descent of womb","метроптоз",NA
"4312","falling of kidney","опущення нирки",NA
"4313","falling-disease","епілепсія",NA
"4314","falling-disease","падуча",NA
"4315","Fallopian tube","фаллопієва труба",NA
"4316","false amenorrhea","несправжня аменорея",NA
"4317","false chromatin nucleolus","каріосома",NA
"4318","false pregnancy","псевдовагітність","Yanamahan"
"4319","familial immunity","природжений імунітет",NA
"4320","famine dropsy","голодний набряк",NA
"4321","famine edema","голодний набряк",NA
"4322","famine-fever","голодний тиф",NA
"4323","famine-fever","висипний тиф",NA
"4324","famine-fever","поворотний тиф",NA
"4325","faradization","фарадизація",NA
"4326","faradize","фарадизувати",NA
"4327","farsightedness","гіперметропія",NA
"4328","febriculose","що почуває легкий озноб",NA
"4329","febriculosity","пропасниця",NA
"4330","febriculosity","пропасний жар",NA
"4331","febrifugal","жарознижувальний",NA
"4332","febrifugal","що знижує температуру",NA
"4333","febrifugal","протигарячковий",NA
"4334","febrifuge","жарознижувальний засіб",NA
"4335","febrifuge","протигарячковий засіб",NA
"4336","femur","стегнова кістка",NA
"4337","ferriheme chloride","гемінхлорид",NA
"4338","fester","нагноєння",NA
"4339","fester","гноєтеча",NA
"4340","fester","гноїння",NA
"4341","festering","гноєння",NA
"4342","festering","гноїстий",NA
"4343","festering","гнійливий",NA
"4344","festering","гнійний",NA
"4345","festination","кваплива походка",NA
"4346","fetal age","внутрішньоутробний вік",NA
"4347","fetal fracture","внутрішньоутробний перелом",NA
"4348","fetal growth","ріст плода",NA
"4349","fetal head","головка плоду",NA
"4350","fever-sore","губний лишай",NA
"4351","fiberoptic catheter","волоконно-оптичний катетер",NA
"4352","fibrillation","мерехтіння",NA
"4353","fibrillation","мигтіння",NA
"4354","fibrination","ненормальна кількість фібрину у крові",NA
"4355","fibrinous bronchitis","крупозний бронхіт",NA
"4356","fibrinous bronchitis","плівковий бронхіт",NA
"4357","fibrinous bronchitis","фібринозний бронхіт",NA
"4358","fibrocartilaginous joint","симфіз",NA
"4359","fibroid","фіброзна пухлина",NA
"4360","fibroid","фіброїд",NA
"4361","fibroma","фіброма",NA
"4362","fibromyalgia","фіброміалгія","Spring_beauty"
"4363","fibrosis","фіброз",NA
"4364","fibrosis","утворення волокнистої тканини",NA
"4365","fibrotic","фіброзний",NA
"4366","fibrous adenoma","фіброаденома",NA
"4367","fissure","надлом",NA
"4368","fissure","розколина",NA
"4369","fissure","тріщина",NA
"4370","fissure","виразка",NA
"4371","fissure","фісура",NA
"4372","flatulence","метеоризм",NA
"4373","flatulence","скупчення газів у кишечнику",NA
"4374","flatulence","затримка газів",NA
"4375","flatulency","метеоризм",NA
"4376","flatulency","скупчення газів у кишечнику",NA
"4377","flatulent","що призводить до здимання",NA
"4378","flatulent","здутий",NA
"4379","flatulent colic","газова колька",NA
"4380","flatus","скупчення газів",NA
"4381","flatus","кишкові гази",NA
"4382","flatus tube","газовідвідна трубка",NA
"4383","flegmonaes laryngitis","гортанна ангіна",NA
"4384","flow","менструації",NA
"4385","flow","менструювати",NA
"4386","flu","інфлуенца",NA
"4387","flu","інфлюенца",NA
"4388","fluctuant","флуктуючий",NA
"4389","fluctuating","флуктуючий",NA
"4390","fluid loss","зневоднення організму",NA
"4391","fluorography","флюорографія","Anuvadak"
"4392","flutter","мерехтіння",NA
"4393","flutter","тремтіння",NA
"4394","flutter","аритмія",NA
"4395","flux","витікання",NA
"4396","flux","сильне виділення",NA
"4397","flux","давати проносне",NA
"4398","fluxion","патологічне витікання",NA
"4399","fly-blister","пластир із шпанських мушок",NA
"4400","focal cortical dysplasia","фокальна коркова дисплазія","Yuriy Sokha"
"4401","focal gastritis","вогнищевий гастрит",NA
"4402","Food and Drug Administration","Управління з контролю за харчовими продуктами та лікарськими засобами США","'More"
"4403","food debris","залишки їжі",NA
"4404","food intolerance","харчове несприйняття","Oleksandr Spirin"
"4405","foot bath","ванна для ніг",NA
"4406","forcible feeding","насильне годування",NA
"4407","forecast amendment","уточнення прогнозу",NA
"4408","frequently and chronically ill children","часто і хронічно хворі діти","Yanamahan"
"4409","fresh breeze","свіжий вітер",NA
"4410","fresh fracture","свіжий перелом",NA
"4411","fright neurosis","шоковий невроз",NA
"4412","frigotherapy","лікування холодом",NA
"4413","frontal","ліки від головного болю",NA
"4414","frontal bulge","виступаючий лоб",NA
"4415","frontal sinuses","лобові пазухи",NA
"4416","frontal sinusitis","фронтит",NA
"4417","frostbite","відмороження",NA
"4418","fulgurant","стріляючий",NA
"4419","full thickness burn","повношаровий опік","SergiusT"
"4420","full-scale irradiation","опромінювання повною дозою",NA
"4421","full-scaled comprehensive picture","розгорнута клінічна картина",NA
"4422","full-term newborn","доношений новонароджений",NA
"4423","fulminant","скоротечний",NA
"4424","fulminant","швидкоплинний",NA
"4425","fulminant hypoxia","блискавична гіпоксія",NA
"4426","fulminate","бурхливо проходити",NA
"4427","fulminate","набирати гострої форми",NA
"4428","fulminating","скоротечний",NA
"4429","fulminating gangrene","блискавична гангрена",NA
"4430","functional anal pain","леватор-синдром",NA
"4431","fundus of eye","дно ока",NA
"4432","fundus-camera","фундус-камера",NA
"4433","gag reflex","глотковий рефлекс","Anuvadak"
"4434","galactischia","галактостаз",NA
"4435","galactocele","галактоцеле",NA
"4436","galactokinase","галактокіназа",NA
"4437","galactopoietic hormone","лютеотропний гормон",NA
"4438","galactorrhea","галакторея",NA
"4439","gamma camera","гамма-камера",NA
"4440","gamma camera","гамма-топограма",NA
"4441","gamma counting","гамма-радіометрія",NA
"4442","gamma counting","гаммаметрія",NA
"4443","gamma encephalography","гамма-енцефалографія",NA
"4444","gamma therapy","гамма-терапія",NA
"4445","gangliac","кістозний",NA
"4446","gangliform","кістоподібний",NA
"4447","ganglion","ганглій",NA
"4448","ganglionic blocking agent","гангліоблокатор",NA
"4449","ganglionic blocking agent","гангліоблокуючий засіб",NA
"4450","ganglionic blocking agent","гангліолітик",NA
"4451","gangliosidosis","гангліозидоз",NA
"4452","gangrene","гангрена",NA
"4453","gangrene","викликати змертвіння",NA
"4454","gangrene","мертвіти",NA
"4455","gangrene","омертвілість",NA
"4456","gangrene","омертвіння",NA
"4457","gangrenous","гангренозний",NA
"4458","gangrenous","змертвілий",NA
"4459","gangrenous appendicitis","гангренозний апендицит",NA
"4460","gangrenous balanitis","баланопостомікоз",NA
"4461","gangrenous emphysema","анаеробна гангрена",NA
"4462","gangrenous inflammation","гангренозне запалення",NA
"4463","gangrenous stomatitis","гангрена рота",NA
"4464","gargantuan mastitis","гіперпластичний мастит",NA
"4465","gargoylism","гаргоїлізм",NA
"4466","garrot","джгут",NA
"4467","gastric ulcer","виразка шлунка",NA
"4468","gathering","нагноєння",NA
"4469","gathering","нарив",NA
"4470","gauze","марля","Anuvadak"
"4471","gauze","марлевий",NA
"4472","gauze bandage","марлевий бинт",NA
"4473","general d'arsonvalization","індуктотерапія",NA
"4474","general medical","загальномедичний","Yanamahan"
"4475","general paralysis","параліч",NA
"4476","general peritonitis","генералізований перитоніт",NA
"4477","genetic assimilation","генетична асиміляція",NA
"4478","genetic code","генетичний код",NA
"4479","genetic correlation","генетична кореляція",NA
"4480","genetic immunity","природжений імунітет",NA
"4481","genetic manipulation","генетичний вплив",NA
"4482","genicular arteries","колінні артерії",NA
"4483","genital hallucinations","генітальні галюцинації",NA
"4484","genital herpes","генітальний герпес",NA
"4485","genital itch","генітальний зуд",NA
"4486","genital itch","свербіння статевих органів",NA
"4487","genomic mutation","геномна мутація",NA
"4488","gentle (light) breeze","легкий вітерець",NA
"4489","gentle breeze","слабкий вітер",NA
"4490","genuine microcephalia","істинна мікроцефалія",NA
"4491","giant cell tumor of bone","остеокластома",NA
"4492","Glanzmann-Riniker syndrome","атимолімфоплазія",NA
"4493","glaucoma","глаукома",NA
"4494","gleet","хронічний уретрит",NA
"4495","glenoid","гленоїдальний",NA
"4496","glenosporosis","гленоспороз",NA
"4497","glicinuria","гліцинурія",NA
"4498","glioblastoma","гліобластома",NA
"4499","glioma","гліома",NA
"4500","gliosis","гліоз",NA
"4501","globulimeter","гемоцитометр",NA
"4502","glossitis","запалення язика",NA
"4503","glottic spasm","стридор",NA
"4504","glucosuria","глюкозурія",NA
"4505","glue","глія",NA
"4506","glue dressing","клейова пов'язка",NA
"4507","glue sniffer","токсикоман",NA
"4508","glue sniffing","токсикоманія",NA
"4509","gluteal furrow","сіднична борозна",NA
"4510","gluteal region","сіднична область",NA
"4511","gluteal tuberosity of femur","сіднична горбистість",NA
"4512","gluten enteropathy","целіакія",NA
"4513","glycinemia","гліцинемія",NA
"4514","glycogen (storage) disease","глікогеноз",NA
"4515","gonoccemia","гонемія",NA
"4516","gonococcus","гонокок",NA
"4517","growth","новоутворення",NA
"4518","growth (somatotropic) hormone","гормон росту",NA
"4519","growth impairment","сповільнення росту",NA
"4520","grume","згусток крові",NA
"4521","guillotine forceps","гільйотинні кусачки",NA
"4522","gum rash","строфулюс",NA
"4523","gum scissors","ясенні ножиці",NA
"4524","haversian space","гаверсів канал",NA
"4525","haversian system","гаверсова система",NA
"4526","heteromastism","гетеромастія",NA
"4527","hospital patient","стаціонарний хворий",NA
"4528","hospital sheet","історія хвороби",NA
"4529","hospital (home) treatment","лікування у лікарні",NA
"4530","hospitalism","госпіталізм",NA
"4531","hospitalism","шкідливий вплив лікарняної обстановки",NA
"4532","hydrotherapeutics","гідротерапія",NA
"4533","hydrotherapeutics","водолікування",NA
"4534","hydrotherapy","гідротерапія",NA
"4535","hydrothorax","гідроторакс",NA
"4536","hydrothorax","грудна водянка",NA
"4537","hydruria","поліурія",NA
"4538","hymenotomy","розтин дівочої пліви",NA
"4539","hyperlipemia","ліпідемія",NA
"4540","hyperlipidemia","ліпемія",NA
"4541","hyperlipidemia","ліпідемія",NA
"4542","hyperlipoidemia","ліпемія",NA
"4543","hyperlipoidemia","ліпідемія",NA
"4544","hypermetrope","далекозора людина",NA
"4545","hypermetropia","гіперметропія",NA
"4546","hypermobility","гіпермобільність",NA
"4547","hypermotility","гіпермобільність",NA
"4548","hyperonychia","гіпероніхія",NA
"4549","hyperoxaluria","оксалурія",NA
"4550","hyperphasia","гіперфазія",NA
"4551","hyperpyrexia","гіперпірексія",NA
"4552","hyperpyrexia","гіпертермія",NA
"4553","hypersensitivity","гіперестезія",NA
"4554","hypersensitivity","підвищене відчуття болю",NA
"4555","hypersensitization","підвищена чутливість",NA
"4556","hypersplenism","спленомегалія",NA
"4557","hypersthenia","підвищений тонус",NA
"4558","hypertensia","гіпертензія",NA
"4559","hypertension","підвищений кров'яний тиск",NA
"4560","hypertension","гіпертензія",NA
"4561","hypertension","гіпертонія",NA
"4562","hypertensive person","гіпертонік",NA
"4563","hyperthelia","гіпертелія",NA
"4564","hyperthymesia","гіпертимезія","Yuriy Sokha"
"4565","hypsarhythmia","гіпсаритмія",NA
"4566","hypsarrhythmia","гіпсаритмія",NA
"4567","ibotenic acid","іботенова кислота",NA
"4568","ice field","крижане поле",NA
"4569","ice field","суцільна крига",NA
"4570","ice-bag","пузир з льодом",NA
"4571","ice-cap","пузир з льодом для голови",NA
"4572","ice-poultice","пузир з льодом",NA
"4573","ichor","сукровиця",NA
"4574","ichor","злоякісний гній",NA
"4575","ichor","іхор",NA
"4576","ichorous","гнильний",NA
"4577","ichthyism","іхтіотоксикоз",NA
"4578","ileostomy","ілеостома",NA
"4579","ileostomy","ілеостомія",NA
"4580","ileotomy","ілеотомія",NA
"4581","ileum","клубова кишка","OstrichReal1979"
"4582","iliac passion","непрохідність кишок",NA
"4583","immunity","несприйнятливість",NA
"4584","immunization","імунізація",NA
"4585","immunize","імунізувати",NA
"4586","immunize","робити несприйнятливим",NA
"4587","immunodeficiency","імунодефіцит",NA
"4588","immunodiagnosis","імунодіагностика",NA
"4589","immunologically competent cell","імуноцит",NA
"4590","immunologist","імунолог",NA
"4591","immunosuppressive","імунодепресивний",NA
"4592","impacted feces","каловий камінь",NA
"4593","impaired function","порушення функції",NA
"4594","impotent","стерильний",NA
"4595","impression","удавлювання",NA
"4596","impression fracture","вдавлений перелом",NA
"4597","impulsive obsession","нав'язливий стан",NA
"4598","in the moment (article) of death","в момент смерті",NA
"4599","in-between borderline state","пограничний стан",NA
"4600","inactivate","робити неактивним",NA
"4601","inactivate","позбавляти активності",NA
"4602","inactivate","інактивувати",NA
"4603","inadequate blood supply","недостатнє кровопостачання",NA
"4604","inadequate immobilization","недостатня іммобілізація",NA
"4605","inadvertent fracture","недіагностований перелом",NA
"4606","inappetence","відсутність апетиту",NA
