"Medicine name";"EML section";"Formulations";"Indication";"ATC codes";"Combined with";"Status"
"imatinib";"Targeted therapies";"Oral > Solid: 100 mg; 400 mg";"Gastrointestinal stromal tumour of unspecified gastrointestinal sites";"L01EA01";;"Added"
"imatinib";"Targeted therapies";"Oral > Solid: 100 mg; 400 mg";"Chronic myeloid leukaemia, not elsewhere classified";"L01EA01";;"Added"
"imipenem + cilastatin";"Watch group antibiotics";"Parenteral > General injections > IV: 250 mg (as monohydrate) + 250 mg (as sodium salt) powder for injection; 500 mg (as monohydrate) + 500 mg (as sodium salt) powder for injection
";"Peritonitis (severe)";"J01DH02";;"Added"
"imipenem + cilastatin";"Watch group antibiotics";"Parenteral > General injections > IV: 250 mg (as monohydrate) + 250 mg (as sodium salt) powder for injection; 500 mg (as monohydrate) + 500 mg (as sodium salt) powder for injection
";"Peritoneal abscess (severe)";"J01DH02";;"Added"
"imipenem + cilastatin";"Watch group antibiotics";"Parenteral > General injections > IV: 250 mg (as monohydrate) + 250 mg (as sodium salt) powder for injection; 500 mg (as monohydrate) + 500 mg (as sodium salt) powder for injection
";"Neutropenia (high-risk)";"J01DH02";;"Added"
"imipenem + cilastatin";"Watch group antibiotics";"Parenteral > General injections > IV: 250 mg (as monohydrate) + 250 mg (as sodium salt) powder for injection; 500 mg (as monohydrate) + 500 mg (as sodium salt) powder for injection
";"Pseudomonas aeruginosa resistant to other antibiotic";"J01DH51";;"Removed"
"imipenem + cilastatin";"Watch group antibiotics";"Parenteral > General injections > IV: 250 mg (as monohydrate) + 250 mg (as sodium salt) powder for injection; 500 mg (as monohydrate) + 500 mg (as sodium salt) powder for injection
";"Antibiotic resistant Acinetobacter baumannii";"J01DH51";;"Removed"
"imipenem + cilastatin";"Antituberculosis medicines";;"Multi-drug resistant Mycobacterium tuberculosis";;;"Added"
"imipenem + cilastatin + relebactam";"Reserve group antibiotics";"Parenteral > General injections > IV: 500 mg + 500 mg + 250 mg powder for injection";"Other specified other antibiotic resistant Enterobacterales";"J01DH56";;"Removed"
"imipenem + cilastatin + relebactam";"Reserve group antibiotics";"Parenteral > General injections > IV: 500 mg + 500 mg + 250 mg powder for injection";"Carbapenem resistant Enterobacterales";"J01DH56";;"Removed"
"imipenem + cilastatin + relebactam";"Reserve group antibiotics";"Parenteral > General injections > IV: 500 mg + 500 mg + 250 mg powder for injection";"Carbapenem-resistant Pseudomonas aeruginosa";"J01DH56";;"Removed"
"indapamide";"Antihypertensive medicines";;"Essential hypertension";;;"Added"
"indapamide";"Medicines used in heart failure";;"Heart failure";;;"Added"
"indinavir";"Antiretrovirals > Protease inhibitors";"Oral > Solid: 400 mg (as sulfate)";"Human immunodeficiency virus disease without mention of associated disease or condition, clinical stage unspecified";"J05AE02";;"Removed"
"indometacin";"Medicines administered to the neonate [c]";;"Patent arterial duct";;;"Added"
"infliximab";"Immunomodulators for non-malignant disease";;"Axial spondyloarthritis";;;"Added"
"infliximab";"Immunomodulators for non-malignant disease";;"Crohn disease site";;;"Added"
"infliximab";"Immunomodulators for non-malignant disease";;"Rheumatoid arthritis";;;"Added"
"infliximab";"Medicines for juvenile joint diseases";;"Juvenile idiopathic arthritis";;;"Added"
"influenza vaccine (seasonal)";"Recommendations for immunization programmes with certain characteristics";"All vaccines should comply with the WHO requirements for biological substances.";"Need for immunization against influenza";"J07BB01, J07BB02, J07BB03";;"Added"
"insulin analogues";"Insulins";"Not specified";"Type 1 diabetes mellitus";"A10AE04, A10AE05, A10AB05, A10AD05, A10AB04, A10AC04, A10AD04, A10AB06, A10AE06";;"Removed"
"insulin analogues";"Insulins";"Not specified";"Type 2 diabetes mellitus";"A10AE04, A10AE05, A10AB05, A10AD05, A10AB04, A10AC04, A10AD04, A10AB06, A10AE06";;"Removed"
"insulin degludec";"Insulins";"Parenteral > General injections > SC: 100 units per  mL
";"Type 1 diabetes mellitus";;;"Removed"
"insulin degludec";"Insulins";"Parenteral > General injections > SC: 100 units per  mL
";"Type 1 diabetes mellitus";;;"Added"
"insulin degludec";"Insulins";"Parenteral > General injections > SC: 100 units per  mL
";"Type 2 diabetes mellitus";;;"Added"
"insulin detemir";"Insulins";;"Type 1 diabetes mellitus";;;"Removed"
"insulin detemir";"Insulins";;"Type 1 diabetes mellitus";;;"Added"
"insulin detemir";"Insulins";;"Type 2 diabetes mellitus";;;"Added"
"insulin glargine";"Insulins";"Parenteral > General injections > SC: 100 units per  mL
";"Type 1 diabetes mellitus";"A10AE04";;"Removed"
"insulin glargine";"Insulins";"Parenteral > General injections > SC: 100 units per  mL
";"Type 1 diabetes mellitus";;;"Added"
"insulin glargine";"Insulins";"Parenteral > General injections > SC: 100 units per  mL
";"Type 2 diabetes mellitus";;;"Added"
"intraperitoneal dialysis solution";"Peritoneal dialysis solution";"parenteral solution";"Care involving peritoneal dialysis";;;"Added"
"iodine";"Vitamins and minerals";"Parenteral > General injections > IM: 0.5 mL (240 mg iodine) iodized oil in ampoule; 1 mL (480 mg iodine) iodized oil in ampoule
Oral > Liquid: 1 mL (480 mg iodine) iodized oil in ampoule; 0.5 mL (240 mg iodine) iodized oil in ampoule; 0.57 mL (308 mg iodine) iodized oil in dispenser bottle
Oral > Solid: 190 mg";"Iodine deficiency";"H03CA";;"Added"
"iodine";"Antiseptics";;"Povidone iodine";;;"Added"
"iohexol";"Diagnostic agents > Radiocontrast media";"Parenteral > General injections > unspecified: 140 to 350 mg iodine per  mL in 5 mL ampoule; 140 to 350 mg iodine per  mL in 10 mL ampoule; 140 to 350 mg iodine per  mL in 20 mL ampoule";"X-ray contrast media, iodinated";"V08AB02";;"Added"
"ipecacuanha";"Antidotes and other substances used in poisonings > Non-specific";"Oral > Liquid: 0.14% ipecacuanha alkaloids calculated as emetine";"Unspecified injury, poisoning or certain other consequences of external causes";"V03AB01";;"Removed"
"ipratropium bromide";"Antiasthmatic and medicines for chronic obstructive pulmonary disease";"Respiratory > Inhalation > aerosol: 20 µg per  dose";"Asthma";"R03BB01";;"Added"
"ipratropium bromide";"Antiasthmatic and medicines for chronic obstructive pulmonary disease";"Respiratory > Inhalation > aerosol: 20 µg per  dose";"Chronic obstructive pulmonary disease";"R03BB01";;"Added"
"irinotecan";"Cytotoxic medicines";"Parenteral > General injections > IV: 40 mg per 2 mL in 2 mL vial; 100 mg per 5 mL in 5 mL vial; 500 mg per 25 mL in 25 mL vial";"Malignant neoplasm metastasis in large intestine";"L01CE02";;"Added"
"irinotecan";"Cytotoxic medicines";"Parenteral > General injections > IV: 40 mg per 2 mL in 2 mL vial; 100 mg per 5 mL in 5 mL vial; 500 mg per 25 mL in 25 mL vial";"Malignant neoplasms of kidney, except renal pelvis";"L01CE02";;"Added"
"irinotecan";"Cytotoxic medicines";"Parenteral > General injections > IV: 40 mg per 2 mL in 2 mL vial; 100 mg per 5 mL in 5 mL vial; 500 mg per 25 mL in 25 mL vial";"Rhabdomyosarcoma primary site";"L01CE02";;"Added"
"isoflurane";"General anaesthetics and oxygen > Inhalational medicines";"Respiratory > Inhalation > liquid: ";"Anaesthetics and therapeutic gases";"N01AB06";;"Added"
"isoniazid";"Antituberculosis medicines";"Parenteral > General injections > IV: 100 mg per  mL
Oral > Solid: 100 mg tablet; 100 mg tablet (dispersible); 300 mg tablet";"Other specified tuberculosis";"J04AC01";;"Removed"
"isoniazid";"Antituberculosis medicines";"Parenteral > General injections > IV: 100 mg per  mL
Oral > Solid: 100 mg tablet; 100 mg tablet (dispersible); 300 mg tablet";"Tuberculosis";"J04AC01";;"Added"
"isoniazid + pyrazinamide + rifampicin";"Antituberculosis medicines";"Oral > Solid: 50 mg + 150 mg + 75 mg tablet (dispersible)";"Tuberculosis";"J04AM05";;"Added"
"isoniazid + pyridoxine + sulfamethoxazole + trimethoprim";"Medicines for prevention of HIV-related opportunistic infections";"Oral > Solid: 300 mg + 25 mg + 800 mg + 160 mg tablet (scored)";"Other specified prophylactic measures";"J04AC51";;"Added"
"isoniazid + rifampicin";"Antituberculosis medicines";"Oral > Solid: 50 mg + 75 mg tablet (dispersible); 75 mg + 150 mg tablet; 150 mg + 300 mg tablet";"Tuberculosis";"J04AM02";;"Added"
"isoniazid + rifapentine";"Antituberculosis medicines";"Oral > Solid: 300 mg + 300 mg tablet (scored)";"Latent tuberculosis";"J04AC51";;"Added"
"isoprenaline";"Antiarrhythmic medicines";"Parenteral > General injections > IV: 20 µg per  mL in ampoule (hydrochloride)
Oral > Solid: 10 mg (hydrochloride or sulfate); 15 mg (hydrochloride or sulfate)";"Bradycardia";"C01CA02";;"Removed"
"isoprenaline";"Antiarrhythmic medicines";"Parenteral > General injections > IV: 20 µg per  mL in ampoule (hydrochloride)
Oral > Solid: 10 mg (hydrochloride or sulfate); 15 mg (hydrochloride or sulfate)";"Cardiogenic shock";"C01CA02";;"Removed"
"isosorbide dinitrate";"Antianginal medicines";"Oral > Solid: 5 mg sublingual tablet";"Angina pectoris";"C01DA08";;"Added"
"itraconazole";"Antifungal medicines";"Oral > Liquid: 10 mg per  mL
Oral > Solid: 100 mg";"Chronic pulmonary aspergillosis";"J02AC02";;"Added"
"itraconazole";"Antifungal medicines";"Oral > Liquid: 10 mg per  mL
Oral > Solid: 100 mg";"Chromoblastomycosis";"J02AC02";;"Added"
"itraconazole";"Antifungal medicines";"Oral > Liquid: 10 mg per  mL
Oral > Solid: 100 mg";"Histoplasmosis";"J02AC02";;"Added"
"itraconazole";"Antifungal medicines";"Oral > Liquid: 10 mg per  mL
Oral > Solid: 100 mg";"Talaromycosis";"J02AC02";;"Added"
"itraconazole";"Antifungal medicines";"Oral > Liquid: 10 mg per  mL
Oral > Solid: 100 mg";"Sporotrichosis";"J02AC02";;"Added"
"itraconazole";"Antifungal medicines";"Oral > Liquid: 10 mg per  mL
Oral > Solid: 100 mg";"Paracoccidioidomycosis";"J02AC02";;"Added"
"ivermectin";"Intestinal anthelminthics";"Oral > Solid > tablet: 3 mg";"Strongyloidiasis";"P02CF01";;"Added"
"ivermectin";"Intestinal anthelminthics";"Oral > Solid > tablet: 3 mg";"Ascariasis";"P02CF01";;"Added"
"ivermectin";"Intestinal anthelminthics";"Oral > Solid > tablet: 3 mg";"Trichuriasis";"P02CF01";;"Added"
"ivermectin";"Intestinal anthelminthics";"Oral > Solid > tablet: 3 mg";"Hookworm diseases";"P02CF01";;"Added"
"ivermectin";"Intestinal anthelminthics";"Oral > Solid > tablet: 3 mg";"Ancylostomiasis";"P02CF01";;"Added"
"ivermectin";"Antifilarials";"Oral > Solid > tablet: 3 mg";"Onchocerciasis";"P02CF01";;"Added"
"ivermectin";"Antifilarials";"Oral > Solid > tablet: 3 mg";"Lymphatic filariasis";"P02CF01";;"Added"
"ivermectin";"Medicines for ectoparasitic infections";"Oral > Solid > tablet: 3 mg";"Scabies";"P02CF01";;"Added"
"kanamycin";"Ophthalmological preparations > Anti-infective agents";;"Other specified conjunctivitis";;;"Added"
"kanamycin";"Ophthalmological preparations > Anti-infective agents";;"Infectious blepharitis";;;"Added"
"kanamycin (injection)";"Antituberculosis medicines";"Parenteral > General injections > IV: 1000 mg powder for injection (vial)";"Multi-drug resistant Mycobacterium tuberculosis";"J01GB04";;"Removed"
"ketamine";"General anaesthetics and oxygen > Injectable medicines";"Parenteral > General injections > unspecified: 50 mg per  mL in 10 mL vial (as hydrochloride)";"Anaesthetics and therapeutic gases";"N01AX03";;"Added"
"lactulose";"Medicines for other common symptoms in palliative care";"Oral > Liquid: 3.1 to 3.7 g per 5 mL oral liquid";"Palliative care";"A06AD11";;"Added"
"lamivudine";"Antiretrovirals > Nucleoside/Nucleotide reverse transcriptase inhibitors";"Oral > Liquid: 50 mg per 5 mL
Oral > Solid: 150 mg tablet";"Human immunodeficiency virus disease without mention of associated disease or condition, clinical stage unspecified";"J05AF05";;"Added"
"lamivudine + nevirapine + zidovudine";"Fixed-dose combinations of antiretrovirals";"Oral > Solid: 30 mg + 50 mg + 60 mg Tablet; 150 mg + 200 mg + 300 mg Tablet";"Human immunodeficiency virus disease without mention of associated disease or condition, clinical stage unspecified";"J05AR05";;"Removed"
"lamivudine + tenofovir";"Fixed-dose combinations of antiretrovirals";;"Human immunodeficiency virus disease without mention of associated disease or condition, clinical stage unspecified";;;"Added"
"lamivudine + tenofovir";"Fixed-dose combinations of antiretrovirals";;"Contact with or exposure to human immunodeficiency virus";;;"Added"
"lamivudine + zidovudine";"Fixed-dose combinations of antiretrovirals";"Oral > Solid: 30 mg + 60 mg Tablet; 150 mg + 300 mg Tablet";"Human immunodeficiency virus disease without mention of associated disease or condition, clinical stage unspecified";"J05AR01";;"Added"
"lamotrigine";"Antiseizure medicines";"Oral > Solid: 25 mg tablet; 50 mg tablet; 100 mg tablet; 200 mg tablet; 2 mg tablet (chewable, dispersible); 5 mg tablet (chewable, dispersible); 25 mg tablet (chewable, dispersible); 50 mg tablet (chewable, dispersible); 100 mg tablet (chewable, dispersible); 200 mg tablet (chewable, dispersible)";"Epilepsy or seizures";"N03AX09";;"Added"
"latanoprost";"Ophthalmological preparations > Miotics and antiglaucoma medicines";"Local > Ophthalmological > Solution (eye drops): 50 µg per  mL eye drops";"Primary open-angle glaucoma";"S01EE01";;"Added"
"ledipasvir + sofosbuvir";"Medicines for hepatitis C > Non-pangenotypic direct-acting antiviral combinations";"Oral > Solid: 90 mg + 400 mg tablet";"Chronic hepatitis C";"J05AP51";;"Added"
"lenalidomide";"Immunomodulators";"Oral > Solid: 25 mg";"Plasma cell myeloma";"L04AX04";;"Added"
"leuprorelin";"Hormones and antihormones";"Parenteral > General injections > IM: 7.5 mg in prefilled syringe; 22.5 mg in prefilled syringe";"Malignant neoplasms of breast";"L02AE02";;"Added"
"leuprorelin";"Hormones and antihormones";"Parenteral > General injections > IM: 7.5 mg in prefilled syringe; 22.5 mg in prefilled syringe";"Malignant neoplasms of prostate";"L02AE02";;"Added"
"levamisole";"Intestinal anthelminthics";"Oral > Solid > tablet: 50 mg  (as hydrochloride); 150 mg  (as hydrochloride)";"Ascariasis";"P02CE01";;"Added"
"levetiracetam";"Antiseizure medicines";"Oral > Liquid: 100 mg per  mL
Oral > Solid > tablet: 250 mg; 500 mg; 750 mg; 1000 mg
Parenteral > General injections > IV: 500 mg per 5 mL in 5 mL vial; 5 mg per  mL in 100 mL bag; 10 mg per  mL in 100 mL bag; 15 mg per  mL in 100 mL bag";"Epilepsy or seizures";"N03AX14";;"Added"
"levetiracetam";"Antiseizure medicines";"Oral > Liquid: 100 mg per  mL
Oral > Solid > tablet: 250 mg; 500 mg; 750 mg; 1000 mg
Parenteral > General injections > IV: 500 mg per 5 mL in 5 mL vial; 5 mg per  mL in 100 mL bag; 10 mg per  mL in 100 mL bag; 15 mg per  mL in 100 mL bag";"Status epilepticus";"N03AX14";;"Added"
"levodopa";"Antiseizure medicines";"Oral > Solid: 250 mg";"Parkinson disease";"N04BA01";;"Removed"
"levodopa + benserazide";"Medicines for parkinsonism";;"Parkinson disease";;;"Added"
"levodopa + carbidopa";"Medicines for parkinsonism";"Oral > Solid: 100 mg + 10 mg tablet; 250 mg + 25 mg tablet; 100 mg + 25 mg tablet";"Parkinson disease";"N04BA02";;"Added"
"levofloxacin";"Antituberculosis medicines";"Oral > Solid: 250 mg tablet; 500 mg tablet; 750 mg tablet; 100 mg tablet (dispersible)";"Multi-drug resistant Mycobacterium tuberculosis";"J01MA12";;"Added"
"levonorgestrel";"Oral hormonal contraceptives";"Oral > Solid: 750 µg [2]; 1.5 mg [1]
Oral > Solid: 30 µg";"Contact with health services for postcoital contraception";"G03AD01";;"Added"
"levonorgestrel";"Oral hormonal contraceptives";"Oral > Solid: 750 µg [2]; 1.5 mg [1]
Oral > Solid: 30 µg";"Contact with health services for contraceptive management";"G03AC03";;"Added"
"levonorgestrel";"Intrauterine devices";"Intrauterine system with reservoir containing 52 mg of levonorgestrel.";"Contact with health services for insertion of contraceptive device";"G02BA03";;"Added"
"levonorgestrel-releasing implant";"Implantable contraceptives";"Implant > Subdermal: 75 mg per  rod (two-rods)";"Contact with health services for insertion of contraceptive device";"G03AC03";;"Added"
"levothyroxine";"Thyroid hormones and antithyroid medicines";"Oral > Solid: 50 µg (sodium salt); 100 µg (sodium salt); 25 µg (sodium salt)";"Hypothyroidism";"H03AA01";;"Added"
"lidocaine";"Antiarrhythmic medicines";"Parenteral > General injections > IV: 20 mg per  mL in 5 mL ampoule (hydrochloride)";"Ventricular tachyarrhythmia";"C01BB01";;"Added"
"lidocaine";"Local anaesthetics";"Parenteral > Locoregional injections > Spinal anaesthesia: 5% in 2 mL ampoule (hydrochloride) + 7.5% glucose solution
Parenteral > Locoregional injections > Other: 1% in vial (hydrochloride); 2% in vial (hydrochloride)
Local > Topical > unspecified: 2 to 4% (hydrochloride)";"Local anaesthetics";"N01BB02";;"Added"
"lidocaine + epinephrine";"Local anaesthetics";"Parenteral > Locoregional injections > Other: 1% (lidocaine hydrochloride OR lidocaine sulfate) + 1:200 000 epinephrine in vial; 2% (lidocaine hydrochloride OR lidocaine sulfate) + 1:200 000 epinephrine in vial
Local > Dental > Cartridge: 2% (lidocaine hydrochloride) + 1:80 000 epinephrine";"Local anaesthetics";"N01BB52";;"Added"
"lindane";"Dermatological medicines > Scabicides and pediculicides";"Local > Topical > Cream: 1%
Local > Topical > Lotion: 1%";"Scabies";"P03AB02";;"Removed"
"linezolid";"Reserve group antibiotics";"Parenteral > General injections > IV: 2 mg per  mL in 300 mL bag
Oral > Liquid: 100 mg per 5 mL powder for oral liquid
Oral > Solid: 400 mg tablet; 600 mg tablet";"Other specified bacterial diseases";"J01XX08";;"Removed"
"linezolid";"Antituberculosis medicines";"Oral > Solid: 600 mg tablet; 150 mg tablet (dispersible)";"Multi-drug resistant Mycobacterium tuberculosis";"J01XX08";;"Added"
"lisinopril + amlodipine";"Antihypertensive medicines";"Oral > Solid: 10 mg + 5 mg; 20 mg + 5 mg; 20 mg + 10 mg";"Essential hypertension";"C09BB03";;"Added"
"lisinopril + hydrochlorothiazide";"Antihypertensive medicines";"Oral > Solid: 10 mg + 12.5 mg; 20 mg + 12.5 mg; 20 mg + 25 mg";"Essential hypertension";"C09BA03";;"Added"
"lisocabtagene maraleucel";"Antineoplastics and supportive medicines";;"Diffuse large B-cell lymphomas";;;"Removed"
"lithium carbonate";"Medicines for bipolar disorders";"Oral > Solid: 300 mg";"Bipolar or related disorders";"N05AN01";;"Added"
"long-acting insulin analogues";"Insulins";"Parenteral > General injections > SC: 100 IU per  mL in 3 mL cartridge; 100 IU per  mL in 3 mL pre-filled pen";"Type 1 diabetes mellitus";"A10AE06, A10AE05, A10AE04";;"Added"
"long-acting insulin analogues";"Insulins";"Parenteral > General injections > SC: 100 IU per  mL in 3 mL cartridge; 100 IU per  mL in 3 mL pre-filled pen";"Type 2 diabetes mellitus";"A10AE06, A10AE05, A10AE04";;"Added"
"loperamide";"Medicines for other common symptoms in palliative care";"Oral > Solid: 2 mg solid oral dosage form";"Palliative care";"A07DA03";;"Added"
"lopinavir + ritonavir";"Antiretrovirals > Protease inhibitors";"Oral > Solid: 100 mg + 25 mg tablet (heat-stable); 200 mg + 50 mg tablet (heat-stable); 40 mg + 10 mg";"Human immunodeficiency virus disease without mention of associated disease or condition, clinical stage unspecified";"J05AR10";;"Added"
"loratadine";"Antiallergics and medicines used in anaphylaxis";"Oral > Liquid: 1 mg per  mL
Oral > Solid: 10 mg";"Allergic or hypersensitivity conditions of unspecified type";"R06AX13";;"Added"
"lorazepam";"Antiseizure medicines";"Parenteral > General injections > IV: 2 mg per  mL in 1 mL ampoule; 4 mg per  mL in 1 mL ampoule";"Status epilepticus";"N05BA06";;"Added"
"losartan";"Antihypertensive medicines";"Oral > Solid: 25 mg tablet; 50 mg tablet; 100 mg tablet";"Essential hypertension";"C09CA01";;"Added"
"losartan";"Medicines used in heart failure";"Oral > Solid: 25 mg tablet; 50 mg tablet; 100 mg tablet";"Heart failure";"C09CA01";;"Added"
"lovastatin";"Lipid-lowering agents";;"Mixed hyperlipidaemia";;;"Added"
"lovastatin";"Lipid-lowering agents";;"Coronary atherosclerosis";;;"Added"
"lugol's solution";"Thyroid hormones and antithyroid medicines";"Oral > Liquid: 13% w/v (about 130 mg/mL total iodine)";"Thyrotoxicosis";"H03CA";;"Added"
"magnesium sulfate";"Antiseizure medicines";"Parenteral > General injections > IV: 500 mg per  mL in 2 mL ampoule (equivalent to 1 g in 2 mL; 50% weight/volume)
Parenteral > General injections > IM: 500 mg per  mL in 10 mL ampoule (equivalent to 5 g in 10 mL; 50% weight/volume)";"Severe pre-eclampsia";"B05XA05";;"Added"
"magnesium sulfate";"Antiseizure medicines";"Parenteral > General injections > IV: 500 mg per  mL in 2 mL ampoule (equivalent to 1 g in 2 mL; 50% weight/volume)
Parenteral > General injections > IM: 500 mg per  mL in 10 mL ampoule (equivalent to 5 g in 10 mL; 50% weight/volume)";"Eclampsia";"B05XA05";;"Added"
"mannitol";"Diuretics";"Parenteral > General injections > IV: 10% solution; 20% solution";"Ocular hypertension";"B05BC01";;"Added"
"mannitol";"Diuretics";"Parenteral > General injections > IV: 10% solution; 20% solution";"Cerebral oedema";"B05BC01";;"Added"
"measles vaccine";"Recommendations for all immunization programmes";"All vaccines should comply with the WHO requirements for biological substances.";"Need for immunization against measles alone";"J07BD01";;"Added"
"mebendazole";"Intestinal anthelminthics";"Oral > Solid > tablet: 100 mg (chewable); 500 mg (chewable)";"Ascariasis";"P02CA01";;"Added"
"mebendazole";"Intestinal anthelminthics";"Oral > Solid > tablet: 100 mg (chewable); 500 mg (chewable)";"Enterobiasis";"P02CA01";;"Added"
"mebendazole";"Intestinal anthelminthics";"Oral > Solid > tablet: 100 mg (chewable); 500 mg (chewable)";"Trichuriasis";"P02CA01";;"Added"
"mebendazole";"Intestinal anthelminthics";"Oral > Solid > tablet: 100 mg (chewable); 500 mg (chewable)";"Hookworm diseases";"P02CA01";;"Added"
"mebendazole";"Cysticidal medicines";"Oral > Solid > tablet: 500 mg (chewable); 100 mg (chewable)";"Other specified echinococcosis";"P02CA01";;"Added"
"medroxyprogesterone acetate";"Injectable hormonal contraceptives";"Parenteral > General injections > IM: 150 mg per  mL in 1 mL vial
Parenteral > General injections > SC: 104 mg per 0.65 mL in pre-filled syringe; 104 mg per 0.65 mL in single dose injection delivery system";"Contact with health services for reasons associated with reproduction";"G03AC06";;"Added"
"medroxyprogesterone acetate";"Progestogens";"Oral > Solid: 5 mg";"Excessive menstruation with irregular cycle";"G03DA02";;"Added"
"mefloquine";"Antimalarial medicines > For curative treatment";"Oral > Solid: 250 mg tablet (hydrochloride)";"Malaria due to Plasmodium falciparum";"P01BC02";;"Added"
"mefloquine";"Antimalarial medicines > For curative treatment";"Oral > Solid: 250 mg tablet (hydrochloride)";"Malaria due to Plasmodium vivax";"P01BC02";;"Added"
"mefloquine";"Antimalarial medicines > For chemoprevention";"Oral > Solid: 250 mg tablet (hydrochloride)";"Malaria due to Plasmodium falciparum";"P01BC02";;"Added"
"meglumine antimoniate";"Antileishmaniasis medicines";"Parenteral > General injections > IM: 1.5 g per 5 mL in 5 mL ampoule";"Visceral leishmaniasis";"P01CB01";;"Added"
"meglumine antimoniate";"Antileishmaniasis medicines";"Parenteral > General injections > IM: 1.5 g per 5 mL in 5 mL ampoule";"Mucocutaneous leishmaniasis";"P01CB01";;"Added"
"meglumine antimoniate";"Antileishmaniasis medicines";"Parenteral > General injections > IM: 1.5 g per 5 mL in 5 mL ampoule";"Cutaneous leishmaniasis";"P01CB01";;"Added"
"meglumine iotroxate";"Diagnostic agents > Radiocontrast media";"Parenteral > General injections > IV: 5 to 8 g iodine (as meglumine) in 100 to 250 mL";"X-ray contrast media, iodinated";"V08AC02";;"Added"
"melarsoprol";"Medicines for the treatment of 2nd stage African trypanosomiasis";"Parenteral > General injections > IV: 3.6% in 5 mL ampoule solution (180 mg of active compound)";"African trypanosomiasis";"P01CD01";;"Added"
"melphalan";"Cytotoxic medicines";"Parenteral > General injections > IV: 50 mg in vial powder for injection
Oral > Solid: 2 mg";"Plasma cell myeloma";"L01AA03";;"Added"
"meningococcal meningitis vaccine";"Recommendations for some high-risk populations";"All vaccines should comply with the WHO requirements for biological substances.";"Need for immunization against single bacterial diseases";"J07AH01, J07AH02, J07AH03, J07AH04, J07AH05, J07AH06, J07AH07, J07AH08, J07AH09, J07AH10";;"Added"
"mercaptopurine";"Cytotoxic medicines";"Oral > Solid: 50 mg tablet
Oral > Liquid: 20 mg per  mL";"Unspecified malignant neoplasms of ill-defined or unspecified sites";"L01BB02";;"Removed"
"mercaptopurine";"Cytotoxic medicines";"Oral > Solid: 50 mg tablet
Oral > Liquid: 20 mg per  mL";"Acute myeloid leukaemia with recurrent genetic abnormalities";"L01BB02";;"Added"
"mercaptopurine";"Cytotoxic medicines";"Oral > Solid: 50 mg tablet
Oral > Liquid: 20 mg per  mL";"Lymphoid leukaemia, not elsewhere classified";"L01BB02";;"Added"
"mercaptopurine";"Cytotoxic medicines";"Oral > Solid: 50 mg tablet
Oral > Liquid: 20 mg per  mL";"Langerhans cell histiocytosis";"L01BB02";;"Added"
"meropenem";"Watch group antibiotics";"Parenteral > General injections > IV: 500 mg in vial (as trihydrate) powder for injection; 1 g in vial (as trihydrate) powder for injection";"Neonatal meningitis";"J01DH02";;"Added"
"meropenem";"Watch group antibiotics";"Parenteral > General injections > IV: 500 mg in vial (as trihydrate) powder for injection; 1 g in vial (as trihydrate) powder for injection";"Peritonitis (severe)";"J01DH02";;"Added"
"meropenem";"Watch group antibiotics";"Parenteral > General injections > IV: 500 mg in vial (as trihydrate) powder for injection; 1 g in vial (as trihydrate) powder for injection";"Peritoneal abscess (severe)";"J01DH02";;"Added"
"meropenem";"Watch group antibiotics";"Parenteral > General injections > IV: 500 mg in vial (as trihydrate) powder for injection; 1 g in vial (as trihydrate) powder for injection";"Neutropenia (high-risk)";"J01DH02";;"Added"
"meropenem";"Antituberculosis medicines";"Parenteral > General injections > IV: 500 mg in vial (as trihydrate) powder for injection; 1 g in vial (as trihydrate) powder for injection";"Multi-drug resistant Mycobacterium tuberculosis";"J01DH02";;"Added"
"meropenem + vaborbactam";"Reserve group antibiotics";"Parenteral > General injections > IV: 1 g in vial + 1 g in vial powder for injection";"Carbapenem-resistant Pseudomonas aeruginosa";"J01DH52";;"Added"
"meropenem + vaborbactam";"Reserve group antibiotics";"Parenteral > General injections > IV: 1 g in vial + 1 g in vial powder for injection";"Carbapenem resistant Enterobacterales";"J01DH52";;"Added"
"meropenem + vaborbactam";"Reserve group antibiotics";"Parenteral > General injections > IV: 1 g in vial + 1 g in vial powder for injection";"Carbapenem resistant Acinetobacter baumannii";"J01DH52";;"Added"
"mesalazine";"Anti-inflammatory medicines";;"Crohn disease site";;;"Added"
"mesalazine";"Anti-inflammatory medicines";;"Ulcerative colitis";;;"Added"
"mesna";"Supportive medicines";"Parenteral > General injections > IV: 100 mg per  mL in 4 mL ampoule; 100 mg per  mL in 10 mL ampoule
Oral > Solid: 400 mg; 600 mg";"Osteosarcoma of bone and articular cartilage of other specified sites";"V03AF01";;"Added"
"mesna";"Supportive medicines";"Parenteral > General injections > IV: 100 mg per  mL in 4 mL ampoule; 100 mg per  mL in 10 mL ampoule
Oral > Solid: 400 mg; 600 mg";"Other specified malignant neoplasms of the ovary";"V03AF01";;"Added"
"mesna";"Supportive medicines";"Parenteral > General injections > IV: 100 mg per  mL in 4 mL ampoule; 100 mg per  mL in 10 mL ampoule
Oral > Solid: 400 mg; 600 mg";"Germ cell tumour of testis";"V03AF01";;"Added"
