"Medicine name","EML section","Formulations","Indication","Combined with","Status","atc_classification"
"influenza vaccine (seasonal)","Recommendations for immunization programmes with certain characteristics","All vaccines should comply with the WHO requirements for biological substances.","Need for immunization against influenza","","Added","J07BB03"
"insulin analogues","Insulins","Not specified","Type 1 diabetes mellitus","","Removed","A10AE04"
"insulin analogues","Insulins","Not specified","Type 1 diabetes mellitus","","Removed","A10AE05"
"insulin analogues","Insulins","Not specified","Type 1 diabetes mellitus","","Removed","A10AB05"
"insulin analogues","Insulins","Not specified","Type 1 diabetes mellitus","","Removed","A10AD05"
"insulin analogues","Insulins","Not specified","Type 1 diabetes mellitus","","Removed","A10AB04"
"insulin analogues","Insulins","Not specified","Type 1 diabetes mellitus","","Removed","A10AC04"
"insulin analogues","Insulins","Not specified","Type 1 diabetes mellitus","","Removed","A10AD04"
"insulin analogues","Insulins","Not specified","Type 1 diabetes mellitus","","Removed","A10AB06"
"insulin analogues","Insulins","Not specified","Type 1 diabetes mellitus","","Removed","A10AE06"
"insulin analogues","Insulins","Not specified","Type 2 diabetes mellitus","","Removed","A10AE04"
"insulin analogues","Insulins","Not specified","Type 2 diabetes mellitus","","Removed","A10AE05"
"insulin analogues","Insulins","Not specified","Type 2 diabetes mellitus","","Removed","A10AB05"
"insulin analogues","Insulins","Not specified","Type 2 diabetes mellitus","","Removed","A10AD05"
"insulin analogues","Insulins","Not specified","Type 2 diabetes mellitus","","Removed","A10AB04"
"insulin analogues","Insulins","Not specified","Type 2 diabetes mellitus","","Removed","A10AC04"
"insulin analogues","Insulins","Not specified","Type 2 diabetes mellitus","","Removed","A10AD04"
"insulin analogues","Insulins","Not specified","Type 2 diabetes mellitus","","Removed","A10AB06"
"insulin analogues","Insulins","Not specified","Type 2 diabetes mellitus","","Removed","A10AE06"
"insulin degludec","Insulins","Parenteral > General injections > SC: 100 units per  mL
","Type 1 diabetes mellitus","","Removed","nan"
"insulin degludec","Insulins","Parenteral > General injections > SC: 100 units per  mL
","Type 1 diabetes mellitus","","Added","nan"
"insulin degludec","Insulins","Parenteral > General injections > SC: 100 units per  mL
","Type 2 diabetes mellitus","","Added","nan"
"insulin detemir","Insulins","","Type 1 diabetes mellitus","","Removed","nan"
"insulin detemir","Insulins","","Type 1 diabetes mellitus","","Added","nan"
"insulin detemir","Insulins","","Type 2 diabetes mellitus","","Added","nan"
"insulin glargine","Insulins","Parenteral > General injections > SC: 100 units per  mL
","Type 1 diabetes mellitus","","Removed","A10AE04"
"insulin glargine","Insulins","Parenteral > General injections > SC: 100 units per  mL
","Type 1 diabetes mellitus","","Added","nan"
"insulin glargine","Insulins","Parenteral > General injections > SC: 100 units per  mL
","Type 2 diabetes mellitus","","Added","nan"
"intraperitoneal dialysis solution","Peritoneal dialysis solution","parenteral solution","Care involving peritoneal dialysis","","Added","nan"
"iodine","Vitamins and minerals","Parenteral > General injections > IM: 0.5 mL (240 mg iodine) iodized oil in ampoule; 1 mL (480 mg iodine) iodized oil in ampoule
Oral > Liquid: 1 mL (480 mg iodine) iodized oil in ampoule; 0.5 mL (240 mg iodine) iodized oil in ampoule; 0.57 mL (308 mg iodine) iodized oil in dispenser bottle
Oral > Solid: 190 mg","Iodine deficiency","","Added","H03CA"
"iodine","Antiseptics","","Povidone iodine","","Added","nan"
"iohexol","Diagnostic agents > Radiocontrast media","Parenteral > General injections > unspecified: 140 to 350 mg iodine per  mL in 5 mL ampoule; 140 to 350 mg iodine per  mL in 10 mL ampoule; 140 to 350 mg iodine per  mL in 20 mL ampoule","X-ray contrast media, iodinated","","Added","V08AB02"
"ipecacuanha","Antidotes and other substances used in poisonings > Non-specific","Oral > Liquid: 0.14% ipecacuanha alkaloids calculated as emetine","Unspecified injury, poisoning or certain other consequences of external causes","","Removed","V03AB01"
"ipratropium bromide","Antiasthmatic and medicines for chronic obstructive pulmonary disease","Respiratory > Inhalation > aerosol: 20 µg per  dose","Asthma","","Added","R03BB01"
"ipratropium bromide","Antiasthmatic and medicines for chronic obstructive pulmonary disease","Respiratory > Inhalation > aerosol: 20 µg per  dose","Chronic obstructive pulmonary disease","","Added","R03BB01"
"irinotecan","Cytotoxic medicines","Parenteral > General injections > IV: 40 mg per 2 mL in 2 mL vial; 100 mg per 5 mL in 5 mL vial; 500 mg per 25 mL in 25 mL vial","Malignant neoplasm metastasis in large intestine","","Added","L01CE02"
"irinotecan","Cytotoxic medicines","Parenteral > General injections > IV: 40 mg per 2 mL in 2 mL vial; 100 mg per 5 mL in 5 mL vial; 500 mg per 25 mL in 25 mL vial","Malignant neoplasms of kidney, except renal pelvis","","Added","L01CE02"
"irinotecan","Cytotoxic medicines","Parenteral > General injections > IV: 40 mg per 2 mL in 2 mL vial; 100 mg per 5 mL in 5 mL vial; 500 mg per 25 mL in 25 mL vial","Rhabdomyosarcoma primary site","","Added","L01CE02"
"isoflurane","General anaesthetics and oxygen > Inhalational medicines","Respiratory > Inhalation > liquid: ","Anaesthetics and therapeutic gases","","Added","N01AB06"
"isoniazid","Antituberculosis medicines","Parenteral > General injections > IV: 100 mg per  mL
Oral > Solid: 100 mg tablet; 100 mg tablet (dispersible); 300 mg tablet","Other specified tuberculosis","","Removed","J04AC01"
"isoniazid","Antituberculosis medicines","Parenteral > General injections > IV: 100 mg per  mL
Oral > Solid: 100 mg tablet; 100 mg tablet (dispersible); 300 mg tablet","Tuberculosis","","Added","J04AC01"
"isoniazid + pyrazinamide + rifampicin","Antituberculosis medicines","Oral > Solid: 50 mg + 150 mg + 75 mg tablet (dispersible)","Tuberculosis","","Added","J04AM05"
"isoniazid + pyridoxine + sulfamethoxazole + trimethoprim","Medicines for prevention of HIV-related opportunistic infections","Oral > Solid: 300 mg + 25 mg + 800 mg + 160 mg tablet (scored)","Other specified prophylactic measures","","Added","J04AC51"
"isoniazid + rifampicin","Antituberculosis medicines","Oral > Solid: 50 mg + 75 mg tablet (dispersible); 75 mg + 150 mg tablet; 150 mg + 300 mg tablet","Tuberculosis","","Added","J04AM02"
"isoniazid + rifapentine","Antituberculosis medicines","Oral > Solid: 300 mg + 300 mg tablet (scored)","Latent tuberculosis","","Added","J04AC51"
"isoprenaline","Antiarrhythmic medicines","Parenteral > General injections > IV: 20 µg per  mL in ampoule (hydrochloride)
Oral > Solid: 10 mg (hydrochloride or sulfate); 15 mg (hydrochloride or sulfate)","Bradycardia","","Removed","C01CA02"
"isoprenaline","Antiarrhythmic medicines","Parenteral > General injections > IV: 20 µg per  mL in ampoule (hydrochloride)
Oral > Solid: 10 mg (hydrochloride or sulfate); 15 mg (hydrochloride or sulfate)","Cardiogenic shock","","Removed","C01CA02"
"isosorbide dinitrate","Antianginal medicines","Oral > Solid: 5 mg sublingual tablet","Angina pectoris","","Added","C01DA08"
"itraconazole","Antifungal medicines","Oral > Liquid: 10 mg per  mL
Oral > Solid: 100 mg","Chronic pulmonary aspergillosis","","Added","J02AC02"
"itraconazole","Antifungal medicines","Oral > Liquid: 10 mg per  mL
Oral > Solid: 100 mg","Chromoblastomycosis","","Added","J02AC02"
"itraconazole","Antifungal medicines","Oral > Liquid: 10 mg per  mL
Oral > Solid: 100 mg","Histoplasmosis","","Added","J02AC02"
"itraconazole","Antifungal medicines","Oral > Liquid: 10 mg per  mL
Oral > Solid: 100 mg","Talaromycosis","","Added","J02AC02"
"itraconazole","Antifungal medicines","Oral > Liquid: 10 mg per  mL
Oral > Solid: 100 mg","Sporotrichosis","","Added","J02AC02"
"itraconazole","Antifungal medicines","Oral > Liquid: 10 mg per  mL
Oral > Solid: 100 mg","Paracoccidioidomycosis","","Added","J02AC02"
"ivermectin","Intestinal anthelminthics","Oral > Solid > tablet: 3 mg","Strongyloidiasis","","Added","P02CF01"
"ivermectin","Intestinal anthelminthics","Oral > Solid > tablet: 3 mg","Ascariasis","","Added","P02CF01"
"ivermectin","Intestinal anthelminthics","Oral > Solid > tablet: 3 mg","Trichuriasis","","Added","P02CF01"
"ivermectin","Intestinal anthelminthics","Oral > Solid > tablet: 3 mg","Hookworm diseases","","Added","P02CF01"
"ivermectin","Intestinal anthelminthics","Oral > Solid > tablet: 3 mg","Ancylostomiasis","","Added","P02CF01"
"ivermectin","Antifilarials","Oral > Solid > tablet: 3 mg","Onchocerciasis","","Added","P02CF01"
"ivermectin","Antifilarials","Oral > Solid > tablet: 3 mg","Lymphatic filariasis","","Added","P02CF01"
"ivermectin","Medicines for ectoparasitic infections","Oral > Solid > tablet: 3 mg","Scabies","","Added","P02CF01"
"kanamycin","Ophthalmological preparations > Anti-infective agents","","Other specified conjunctivitis","","Added","nan"
"kanamycin","Ophthalmological preparations > Anti-infective agents","","Infectious blepharitis","","Added","nan"
"kanamycin (injection)","Antituberculosis medicines","Parenteral > General injections > IV: 1000 mg powder for injection (vial)","Multi-drug resistant Mycobacterium tuberculosis","","Removed","J01GB04"
"ketamine","General anaesthetics and oxygen > Injectable medicines","Parenteral > General injections > unspecified: 50 mg per  mL in 10 mL vial (as hydrochloride)","Anaesthetics and therapeutic gases","","Added","N01AX03"
"lactulose","Medicines for other common symptoms in palliative care","Oral > Liquid: 3.1 to 3.7 g per 5 mL oral liquid","Palliative care","","Added","A06AD11"
"lamivudine","Antiretrovirals > Nucleoside/Nucleotide reverse transcriptase inhibitors","Oral > Liquid: 50 mg per 5 mL
Oral > Solid: 150 mg tablet","Human immunodeficiency virus disease without mention of associated disease or condition, clinical stage unspecified","","Added","J05AF05"
"lamivudine + nevirapine + zidovudine","Fixed-dose combinations of antiretrovirals","Oral > Solid: 30 mg + 50 mg + 60 mg Tablet; 150 mg + 200 mg + 300 mg Tablet","Human immunodeficiency virus disease without mention of associated disease or condition, clinical stage unspecified","","Removed","J05AR05"
"lamivudine + tenofovir","Fixed-dose combinations of antiretrovirals","","Human immunodeficiency virus disease without mention of associated disease or condition, clinical stage unspecified","","Added","nan"
"lamivudine + tenofovir","Fixed-dose combinations of antiretrovirals","","Contact with or exposure to human immunodeficiency virus","","Added","nan"
"lamivudine + zidovudine","Fixed-dose combinations of antiretrovirals","Oral > Solid: 30 mg + 60 mg Tablet; 150 mg + 300 mg Tablet","Human immunodeficiency virus disease without mention of associated disease or condition, clinical stage unspecified","","Added","J05AR01"
"lamotrigine","Antiseizure medicines","Oral > Solid: 25 mg tablet; 50 mg tablet; 100 mg tablet; 200 mg tablet; 2 mg tablet (chewable, dispersible); 5 mg tablet (chewable, dispersible); 25 mg tablet (chewable, dispersible); 50 mg tablet (chewable, dispersible); 100 mg tablet (chewable, dispersible); 200 mg tablet (chewable, dispersible)","Epilepsy or seizures","","Added","N03AX09"
"latanoprost","Ophthalmological preparations > Miotics and antiglaucoma medicines","Local > Ophthalmological > Solution (eye drops): 50 µg per  mL eye drops","Primary open-angle glaucoma","","Added","S01EE01"
"ledipasvir + sofosbuvir","Medicines for hepatitis C > Non-pangenotypic direct-acting antiviral combinations","Oral > Solid: 90 mg + 400 mg tablet","Chronic hepatitis C","","Added","J05AP51"
"lenalidomide","Immunomodulators","Oral > Solid: 25 mg","Plasma cell myeloma","","Added","L04AX04"
"leuprorelin","Hormones and antihormones","Parenteral > General injections > IM: 7.5 mg in prefilled syringe; 22.5 mg in prefilled syringe","Malignant neoplasms of breast","","Added","L02AE02"
"leuprorelin","Hormones and antihormones","Parenteral > General injections > IM: 7.5 mg in prefilled syringe; 22.5 mg in prefilled syringe","Malignant neoplasms of prostate","","Added","L02AE02"
"levamisole","Intestinal anthelminthics","Oral > Solid > tablet: 50 mg  (as hydrochloride); 150 mg  (as hydrochloride)","Ascariasis","","Added","P02CE01"
"levetiracetam","Antiseizure medicines","Oral > Liquid: 100 mg per  mL
Oral > Solid > tablet: 250 mg; 500 mg; 750 mg; 1000 mg
Parenteral > General injections > IV: 500 mg per 5 mL in 5 mL vial; 5 mg per  mL in 100 mL bag; 10 mg per  mL in 100 mL bag; 15 mg per  mL in 100 mL bag","Epilepsy or seizures","","Added","N03AX14"
"levetiracetam","Antiseizure medicines","Oral > Liquid: 100 mg per  mL
Oral > Solid > tablet: 250 mg; 500 mg; 750 mg; 1000 mg
Parenteral > General injections > IV: 500 mg per 5 mL in 5 mL vial; 5 mg per  mL in 100 mL bag; 10 mg per  mL in 100 mL bag; 15 mg per  mL in 100 mL bag","Status epilepticus","","Added","N03AX14"
"levodopa","Antiseizure medicines","Oral > Solid: 250 mg","Parkinson disease","","Removed","N04BA01"
"levodopa + benserazide","Medicines for parkinsonism","","Parkinson disease","","Added","nan"
"levodopa + carbidopa","Medicines for parkinsonism","Oral > Solid: 100 mg + 10 mg tablet; 250 mg + 25 mg tablet; 100 mg + 25 mg tablet","Parkinson disease","","Added","N04BA02"
"levofloxacin","Antituberculosis medicines","Oral > Solid: 250 mg tablet; 500 mg tablet; 750 mg tablet; 100 mg tablet (dispersible)","Multi-drug resistant Mycobacterium tuberculosis","","Added","J01MA12"
"levonorgestrel","Oral hormonal contraceptives","Oral > Solid: 750 µg [2]; 1.5 mg [1]
Oral > Solid: 30 µg","Contact with health services for postcoital contraception","","Added","G03AD01"
"levonorgestrel","Oral hormonal contraceptives","Oral > Solid: 750 µg [2]; 1.5 mg [1]
Oral > Solid: 30 µg","Contact with health services for contraceptive management","","Added","G03AC03"
"levonorgestrel","Intrauterine devices","Intrauterine system with reservoir containing 52 mg of levonorgestrel.","Contact with health services for insertion of contraceptive device","","Added","G02BA03"
"levonorgestrel-releasing implant","Implantable contraceptives","Implant > Subdermal: 75 mg per  rod (two-rods)","Contact with health services for insertion of contraceptive device","","Added","G03AC03"
"levothyroxine","Thyroid hormones and antithyroid medicines","Oral > Solid: 50 µg (sodium salt); 100 µg (sodium salt); 25 µg (sodium salt)","Hypothyroidism","","Added","H03AA01"
"lidocaine","Antiarrhythmic medicines","Parenteral > General injections > IV: 20 mg per  mL in 5 mL ampoule (hydrochloride)","Ventricular tachyarrhythmia","","Added","C01BB01"
"lidocaine","Local anaesthetics","Parenteral > Locoregional injections > Spinal anaesthesia: 5% in 2 mL ampoule (hydrochloride) + 7.5% glucose solution
Parenteral > Locoregional injections > Other: 1% in vial (hydrochloride); 2% in vial (hydrochloride)
Local > Topical > unspecified: 2 to 4% (hydrochloride)","Local anaesthetics","","Added","N01BB02"
"lidocaine + epinephrine","Local anaesthetics","Parenteral > Locoregional injections > Other: 1% (lidocaine hydrochloride OR lidocaine sulfate) + 1:200 000 epinephrine in vial; 2% (lidocaine hydrochloride OR lidocaine sulfate) + 1:200 000 epinephrine in vial
Local > Dental > Cartridge: 2% (lidocaine hydrochloride) + 1:80 000 epinephrine","Local anaesthetics","","Added","N01BB52"
"lindane","Dermatological medicines > Scabicides and pediculicides","Local > Topical > Cream: 1%
Local > Topical > Lotion: 1%","Scabies","","Removed","P03AB02"
"linezolid","Reserve group antibiotics","Parenteral > General injections > IV: 2 mg per  mL in 300 mL bag
Oral > Liquid: 100 mg per 5 mL powder for oral liquid
Oral > Solid: 400 mg tablet; 600 mg tablet","Other specified bacterial diseases","","Removed","J01XX08"
"linezolid","Antituberculosis medicines","Oral > Solid: 600 mg tablet; 150 mg tablet (dispersible)","Multi-drug resistant Mycobacterium tuberculosis","","Added","J01XX08"
"lisinopril + amlodipine","Antihypertensive medicines","Oral > Solid: 10 mg + 5 mg; 20 mg + 5 mg; 20 mg + 10 mg","Essential hypertension","","Added","C09BB03"
"lisinopril + hydrochlorothiazide","Antihypertensive medicines","Oral > Solid: 10 mg + 12.5 mg; 20 mg + 12.5 mg; 20 mg + 25 mg","Essential hypertension","","Added","C09BA03"
"lisocabtagene maraleucel","Antineoplastics and supportive medicines","","Diffuse large B-cell lymphomas","","Removed","nan"
"lithium carbonate","Medicines for bipolar disorders","Oral > Solid: 300 mg","Bipolar or related disorders","","Added","N05AN01"
"long-acting insulin analogues","Insulins","Parenteral > General injections > SC: 100 IU per  mL in 3 mL cartridge; 100 IU per  mL in 3 mL pre-filled pen","Type 1 diabetes mellitus","","Added","A10AE06"
"long-acting insulin analogues","Insulins","Parenteral > General injections > SC: 100 IU per  mL in 3 mL cartridge; 100 IU per  mL in 3 mL pre-filled pen","Type 1 diabetes mellitus","","Added","A10AE05"
"long-acting insulin analogues","Insulins","Parenteral > General injections > SC: 100 IU per  mL in 3 mL cartridge; 100 IU per  mL in 3 mL pre-filled pen","Type 1 diabetes mellitus","","Added","A10AE04"
"long-acting insulin analogues","Insulins","Parenteral > General injections > SC: 100 IU per  mL in 3 mL cartridge; 100 IU per  mL in 3 mL pre-filled pen","Type 2 diabetes mellitus","","Added","A10AE06"
"long-acting insulin analogues","Insulins","Parenteral > General injections > SC: 100 IU per  mL in 3 mL cartridge; 100 IU per  mL in 3 mL pre-filled pen","Type 2 diabetes mellitus","","Added","A10AE05"
"long-acting insulin analogues","Insulins","Parenteral > General injections > SC: 100 IU per  mL in 3 mL cartridge; 100 IU per  mL in 3 mL pre-filled pen","Type 2 diabetes mellitus","","Added","A10AE04"
"loperamide","Medicines for other common symptoms in palliative care","Oral > Solid: 2 mg solid oral dosage form","Palliative care","","Added","A07DA03"
"lopinavir + ritonavir","Antiretrovirals > Protease inhibitors","Oral > Solid: 100 mg + 25 mg tablet (heat-stable); 200 mg + 50 mg tablet (heat-stable); 40 mg + 10 mg","Human immunodeficiency virus disease without mention of associated disease or condition, clinical stage unspecified","","Added","J05AR10"
"loratadine","Antiallergics and medicines used in anaphylaxis","Oral > Liquid: 1 mg per  mL
Oral > Solid: 10 mg","Allergic or hypersensitivity conditions of unspecified type","","Added","R06AX13"
"lorazepam","Antiseizure medicines","Parenteral > General injections > IV: 2 mg per  mL in 1 mL ampoule; 4 mg per  mL in 1 mL ampoule","Status epilepticus","","Added","N05BA06"
"losartan","Antihypertensive medicines","Oral > Solid: 25 mg tablet; 50 mg tablet; 100 mg tablet","Essential hypertension","","Added","C09CA01"
"losartan","Medicines used in heart failure","Oral > Solid: 25 mg tablet; 50 mg tablet; 100 mg tablet","Heart failure","","Added","C09CA01"
"lovastatin","Lipid-lowering agents","","Mixed hyperlipidaemia","","Added","nan"
"lovastatin","Lipid-lowering agents","","Coronary atherosclerosis","","Added","nan"
"lugol's solution","Thyroid hormones and antithyroid medicines","Oral > Liquid: 13% w/v (about 130 mg/mL total iodine)","Thyrotoxicosis","","Added","H03CA"
"magnesium sulfate","Antiseizure medicines","Parenteral > General injections > IV: 500 mg per  mL in 2 mL ampoule (equivalent to 1 g in 2 mL; 50% weight/volume)
Parenteral > General injections > IM: 500 mg per  mL in 10 mL ampoule (equivalent to 5 g in 10 mL; 50% weight/volume)","Severe pre-eclampsia","","Added","B05XA05"
"magnesium sulfate","Antiseizure medicines","Parenteral > General injections > IV: 500 mg per  mL in 2 mL ampoule (equivalent to 1 g in 2 mL; 50% weight/volume)
Parenteral > General injections > IM: 500 mg per  mL in 10 mL ampoule (equivalent to 5 g in 10 mL; 50% weight/volume)","Eclampsia","","Added","B05XA05"
"mannitol","Diuretics","Parenteral > General injections > IV: 10% solution; 20% solution","Ocular hypertension","","Added","B05BC01"
"mannitol","Diuretics","Parenteral > General injections > IV: 10% solution; 20% solution","Cerebral oedema","","Added","B05BC01"
"measles vaccine","Recommendations for all immunization programmes","All vaccines should comply with the WHO requirements for biological substances.","Need for immunization against measles alone","","Added","J07BD01"
"mebendazole","Intestinal anthelminthics","Oral > Solid > tablet: 100 mg (chewable); 500 mg (chewable)","Ascariasis","","Added","P02CA01"
"mebendazole","Intestinal anthelminthics","Oral > Solid > tablet: 100 mg (chewable); 500 mg (chewable)","Enterobiasis","","Added","P02CA01"
"mebendazole","Intestinal anthelminthics","Oral > Solid > tablet: 100 mg (chewable); 500 mg (chewable)","Trichuriasis","","Added","P02CA01"
"mebendazole","Intestinal anthelminthics","Oral > Solid > tablet: 100 mg (chewable); 500 mg (chewable)","Hookworm diseases","","Added","P02CA01"
"mebendazole","Cysticidal medicines","Oral > Solid > tablet: 500 mg (chewable); 100 mg (chewable)","Other specified echinococcosis","","Added","P02CA01"
"medroxyprogesterone acetate","Injectable hormonal contraceptives","Parenteral > General injections > IM: 150 mg per  mL in 1 mL vial
Parenteral > General injections > SC: 104 mg per 0.65 mL in pre-filled syringe; 104 mg per 0.65 mL in single dose injection delivery system","Contact with health services for reasons associated with reproduction","","Added","G03AC06"
"medroxyprogesterone acetate","Progestogens","Oral > Solid: 5 mg","Excessive menstruation with irregular cycle","","Added","G03DA02"
"mefloquine","Antimalarial medicines > For curative treatment","Oral > Solid: 250 mg tablet (hydrochloride)","Malaria due to Plasmodium falciparum","","Added","P01BC02"
"mefloquine","Antimalarial medicines > For curative treatment","Oral > Solid: 250 mg tablet (hydrochloride)","Malaria due to Plasmodium vivax","","Added","P01BC02"
"mefloquine","Antimalarial medicines > For chemoprevention","Oral > Solid: 250 mg tablet (hydrochloride)","Malaria due to Plasmodium falciparum","","Added","P01BC02"
"meglumine antimoniate","Antileishmaniasis medicines","Parenteral > General injections > IM: 1.5 g per 5 mL in 5 mL ampoule","Visceral leishmaniasis","","Added","P01CB01"
"meglumine antimoniate","Antileishmaniasis medicines","Parenteral > General injections > IM: 1.5 g per 5 mL in 5 mL ampoule","Mucocutaneous leishmaniasis","","Added","P01CB01"
"meglumine antimoniate","Antileishmaniasis medicines","Parenteral > General injections > IM: 1.5 g per 5 mL in 5 mL ampoule","Cutaneous leishmaniasis","","Added","P01CB01"
"meglumine iotroxate","Diagnostic agents > Radiocontrast media","Parenteral > General injections > IV: 5 to 8 g iodine (as meglumine) in 100 to 250 mL","X-ray contrast media, iodinated","","Added","V08AC02"
"melarsoprol","Medicines for the treatment of 2nd stage African trypanosomiasis","Parenteral > General injections > IV: 3.6% in 5 mL ampoule solution (180 mg of active compound)","African trypanosomiasis","","Added","P01CD01"
"melphalan","Cytotoxic medicines","Parenteral > General injections > IV: 50 mg in vial powder for injection
Oral > Solid: 2 mg","Plasma cell myeloma","","Added","L01AA03"
"meningococcal meningitis vaccine","Recommendations for some high-risk populations","All vaccines should comply with the WHO requirements for biological substances.","Need for immunization against single bacterial diseases","","Added","J07AH01"
"meningococcal meningitis vaccine","Recommendations for some high-risk populations","All vaccines should comply with the WHO requirements for biological substances.","Need for immunization against single bacterial diseases","","Added","J07AH02"
"meningococcal meningitis vaccine","Recommendations for some high-risk populations","All vaccines should comply with the WHO requirements for biological substances.","Need for immunization against single bacterial diseases","","Added","J07AH03"
"meningococcal meningitis vaccine","Recommendations for some high-risk populations","All vaccines should comply with the WHO requirements for biological substances.","Need for immunization against single bacterial diseases","","Added","J07AH04"
"meningococcal meningitis vaccine","Recommendations for some high-risk populations","All vaccines should comply with the WHO requirements for biological substances.","Need for immunization against single bacterial diseases","","Added","J07AH05"
"meningococcal meningitis vaccine","Recommendations for some high-risk populations","All vaccines should comply with the WHO requirements for biological substances.","Need for immunization against single bacterial diseases","","Added","J07AH06"
"meningococcal meningitis vaccine","Recommendations for some high-risk populations","All vaccines should comply with the WHO requirements for biological substances.","Need for immunization against single bacterial diseases","","Added","J07AH07"
"meningococcal meningitis vaccine","Recommendations for some high-risk populations","All vaccines should comply with the WHO requirements for biological substances.","Need for immunization against single bacterial diseases","","Added","J07AH08"
"meningococcal meningitis vaccine","Recommendations for some high-risk populations","All vaccines should comply with the WHO requirements for biological substances.","Need for immunization against single bacterial diseases","","Added","J07AH09"
"meningococcal meningitis vaccine","Recommendations for some high-risk populations","All vaccines should comply with the WHO requirements for biological substances.","Need for immunization against single bacterial diseases","","Added","J07AH10"
"mercaptopurine","Cytotoxic medicines","Oral > Solid: 50 mg tablet
Oral > Liquid: 20 mg per  mL","Unspecified malignant neoplasms of ill-defined or unspecified sites","","Removed","L01BB02"
"mercaptopurine","Cytotoxic medicines","Oral > Solid: 50 mg tablet
Oral > Liquid: 20 mg per  mL","Acute myeloid leukaemia with recurrent genetic abnormalities","","Added","L01BB02"
"mercaptopurine","Cytotoxic medicines","Oral > Solid: 50 mg tablet
Oral > Liquid: 20 mg per  mL","Lymphoid leukaemia, not elsewhere classified","","Added","L01BB02"
"mercaptopurine","Cytotoxic medicines","Oral > Solid: 50 mg tablet
Oral > Liquid: 20 mg per  mL","Langerhans cell histiocytosis","","Added","L01BB02"
"meropenem","Watch group antibiotics","Parenteral > General injections > IV: 500 mg in vial (as trihydrate) powder for injection; 1 g in vial (as trihydrate) powder for injection","Neonatal meningitis","","Added","J01DH02"
"meropenem","Watch group antibiotics","Parenteral > General injections > IV: 500 mg in vial (as trihydrate) powder for injection; 1 g in vial (as trihydrate) powder for injection","Peritonitis (severe)","","Added","J01DH02"
"meropenem","Watch group antibiotics","Parenteral > General injections > IV: 500 mg in vial (as trihydrate) powder for injection; 1 g in vial (as trihydrate) powder for injection","Peritoneal abscess (severe)","","Added","J01DH02"
"meropenem","Watch group antibiotics","Parenteral > General injections > IV: 500 mg in vial (as trihydrate) powder for injection; 1 g in vial (as trihydrate) powder for injection","Neutropenia (high-risk)","","Added","J01DH02"
"meropenem","Antituberculosis medicines","Parenteral > General injections > IV: 500 mg in vial (as trihydrate) powder for injection; 1 g in vial (as trihydrate) powder for injection","Multi-drug resistant Mycobacterium tuberculosis","","Added","J01DH02"
"meropenem + vaborbactam","Reserve group antibiotics","Parenteral > General injections > IV: 1 g in vial + 1 g in vial powder for injection","Carbapenem-resistant Pseudomonas aeruginosa","","Added","J01DH52"
"meropenem + vaborbactam","Reserve group antibiotics","Parenteral > General injections > IV: 1 g in vial + 1 g in vial powder for injection","Carbapenem resistant Enterobacterales","","Added","J01DH52"
"meropenem + vaborbactam","Reserve group antibiotics","Parenteral > General injections > IV: 1 g in vial + 1 g in vial powder for injection","Carbapenem resistant Acinetobacter baumannii","","Added","J01DH52"
"mesalazine","Anti-inflammatory medicines","","Crohn disease site","","Added","nan"
"mesalazine","Anti-inflammatory medicines","","Ulcerative colitis","","Added","nan"
"mesna","Supportive medicines","Parenteral > General injections > IV: 100 mg per  mL in 4 mL ampoule; 100 mg per  mL in 10 mL ampoule
Oral > Solid: 400 mg; 600 mg","Osteosarcoma of bone and articular cartilage of other specified sites","","Added","V03AF01"
"mesna","Supportive medicines","Parenteral > General injections > IV: 100 mg per  mL in 4 mL ampoule; 100 mg per  mL in 10 mL ampoule
Oral > Solid: 400 mg; 600 mg","Other specified malignant neoplasms of the ovary","","Added","V03AF01"
"mesna","Supportive medicines","Parenteral > General injections > IV: 100 mg per  mL in 4 mL ampoule; 100 mg per  mL in 10 mL ampoule
Oral > Solid: 400 mg; 600 mg","Germ cell tumour of testis","","Added","V03AF01"
"mesna","Supportive medicines","Parenteral > General injections > IV: 100 mg per  mL in 4 mL ampoule; 100 mg per  mL in 10 mL ampoule
Oral > Solid: 400 mg; 600 mg","Ewing sarcoma of bone and articular cartilage of unspecified sites","","Added","V03AF01"
"mesna","Supportive medicines","Parenteral > General injections > IV: 100 mg per  mL in 4 mL ampoule; 100 mg per  mL in 10 mL ampoule
Oral > Solid: 400 mg; 600 mg","Rhabdomyosarcoma primary site","","Added","V03AF01"
"mesna","Supportive medicines","Parenteral > General injections > IV: 100 mg per  mL in 4 mL ampoule; 100 mg per  mL in 10 mL ampoule
Oral > Solid: 400 mg; 600 mg","Unspecified malignant neoplasms of ill-defined or unspecified sites","","Removed","V03AF01"
"mesna","Supportive medicines","Parenteral > General injections > IV: 100 mg per  mL in 4 mL ampoule; 100 mg per  mL in 10 mL ampoule
Oral > Solid: 400 mg; 600 mg","Burkitt lymphoma including Burkitt leukaemia","","Added","V03AF01"
"mesna","Supportive medicines","Parenteral > General injections > IV: 100 mg per  mL in 4 mL ampoule; 100 mg per  mL in 10 mL ampoule
Oral > Solid: 400 mg; 600 mg","Malignant neoplasms of kidney, except renal pelvis","","Added","V03AF01"
