"medicine_name","eml_section","formulations","indication","combined_with","status","atc_classification","source"
"granisetron","Medicines for other common symptoms in palliative care","","Palliative care","","Added","nan","who.int"
"granisetron","Antiemetic medicines","","Nausea or vomiting","","Added","nan","who.int"
"griseofulvin","Antifungal medicines","Oral > Liquid: 125 mg per 5 mL
Oral > Solid: 125 mg; 250 mg","Dermatophytosis","","Added","D01BA01","who.int"
"haemophilus influenzae type b vaccine","Recommendations for all immunization programmes","All vaccines should comply with the WHO requirements for biological substances.","Need for immunization against single bacterial diseases","","Added","J07AG01","who.int"
"haloperidol","Medicines for other common symptoms in palliative care","Oral > Liquid: 2 mg per  mL
Oral > Solid: 0.5 mg; 2 mg; 5 mg
Parenteral > General injections > unspecified: 5 mg per  mL in 1-mL ampoule","Palliative care","","Added","N05AD01","who.int"
"halothane","General anaesthetics and oxygen > Inhalational medicines","Respiratory > Inhalation > liquid: ","Anaesthetics and therapeutic gases","","Added","N01AB01","who.int"
"heparin sodium","Medicines affecting coagulation","Parenteral > General injections > IV: 1000 IU per  mL in 5 mL ampoule; 20000 IU per  mL in 5 mL ampoule; 5000 IU per  mL in 5 mL ampoule","Acute ischaemic heart disease","","Added","B01AB01","who.int"
"heparin sodium","Medicines affecting coagulation","Parenteral > General injections > IV: 1000 IU per  mL in 5 mL ampoule; 20000 IU per  mL in 5 mL ampoule; 5000 IU per  mL in 5 mL ampoule","Unstable angina","","Added","B01AB01","who.int"
"heparin sodium","Medicines affecting coagulation","Parenteral > General injections > IV: 1000 IU per  mL in 5 mL ampoule; 20000 IU per  mL in 5 mL ampoule; 5000 IU per  mL in 5 mL ampoule","Venous thromboembolism","","Added","B01AB01","who.int"
"hepatitis a vaccine","Recommendations for some high-risk populations","All vaccines should comply with the WHO requirements for biological substances.","Need for immunization against viral hepatitis","","Added","J07BC02","who.int"
"hepatitis b vaccine","Recommendations for all immunization programmes","All vaccines should comply with the WHO requirements for biological substances.","Need for immunization against viral hepatitis","","Added","J07BC01","who.int"
"homatropine","Ophthalmological preparations > Mydriatics","Local > Ophthalmological > Solution (eye drops): 2% (hydrobromide)
","Anterior uveitis","","Removed","S01FA05","who.int"
"homatropine","Ophthalmological preparations > Mydriatics","Local > Ophthalmological > Solution (eye drops): 2% (hydrobromide)
","Anterior uveitis","","Added","nan","who.int"
"human papilloma virus (hpv) vaccine","Recommendations for all immunization programmes","All vaccines should comply with the WHO requirements for biological substances.","Need for immunization against certain single viral diseases","","Added","J07BM01","who.int"
"hydralazine","Antihypertensive medicines","Parenteral > General injections > IV: 20 mg in ampoule powder for injection (hydrochloride)
Oral > Solid: 50 mg tablet; 25 mg tablet (hydrochloride)
Oral > Solid: 50 mg (hydrochloride); 25 mg (hydrochloride)","Essential hypertension","","Removed","C02DB02","who.int"
"hydralazine","Antihypertensive medicines","Parenteral > General injections > IV: 20 mg in ampoule powder for injection (hydrochloride)
Oral > Solid: 50 mg tablet; 25 mg tablet (hydrochloride)
Oral > Solid: 50 mg (hydrochloride); 25 mg (hydrochloride)","Gestational hypertension","","Added","C02DB02","who.int"
"hydrochlorothiazide","Antihypertensive medicines","Oral > Liquid: 50 mg per 5 mL
Oral > Solid: 25 mg; 12.5 mg","Essential hypertension","","Added","C03AA03","who.int"
"hydrochlorothiazide","Medicines used in heart failure","Oral > Liquid: 50 mg per 5 mL
Oral > Solid: 25 mg","Heart failure","","Added","C03AA03","who.int"
"hydrochlorothiazide","Diuretics","Oral > Solid: 25 mg","Oedema","","Added","C03AA03","who.int"
"hydrocortisone","Hormones and antihormones","Parenteral > General injections > unspecified: 100 mg in vial (as sodium succinate)","Lymphoid leukaemia, not elsewhere classified","","Added","H02AB09","who.int"
"hydrocortisone","Hormones and antihormones","Parenteral > General injections > unspecified: 100 mg in vial (as sodium succinate)","Unspecified malignant neoplasms of ill-defined or unspecified sites","","Removed","H02AB09","who.int"
"hydrocortisone","Hormones and antihormones","Parenteral > General injections > unspecified: 100 mg in vial (as sodium succinate)","Burkitt lymphoma including Burkitt leukaemia","","Added","H02AB09","who.int"
"hydrocortisone","Adrenal hormones and synthetic substitutes","Oral > Solid: 5 mg; 10 mg; 20 mg","Adrenocortical insufficiency","","Added","H02AB09","who.int"
"hydrocortisone","Ophthalmological preparations > Anti-inflammatory agents","Local > Ophthalmological > Ointment: 1% (acetate)","Scleritis","","Removed","S01BA02","who.int"
"hydrocortisone","Ophthalmological preparations > Anti-inflammatory agents","Local > Ophthalmological > Ointment: 1% (acetate)","Anterior uveitis","","Removed","S01BA02","who.int"
"hydrocortisone","Antiallergics and medicines used in anaphylaxis","Parenteral > General injections > unspecified: 100 mg in vial powder for injection (as sodium succinate)","Anaphylaxis","","Added","H02AB09","who.int"
"hydrocortisone","Anti-inflammatory medicines","Local > Rectal > Suppository: 25 mg (acetate)
Local > Rectal > Retention enema: 100 mg per 60 mL","Crohn disease site","","Added","A07EA02","who.int"
"hydrocortisone","Anti-inflammatory medicines","Local > Rectal > Suppository: 25 mg (acetate)
Local > Rectal > Retention enema: 100 mg per 60 mL","Ulcerative colitis","","Added","A07EA02","who.int"
"hydrocortisone","Dermatological medicines > Anti-inflammatory and antipruritic medicines","Local > Topical > Cream: 1% (acetate)
Local > Topical > Ointment: 1% (acetate)","Dermatitis or eczema","","Added","D07AA02","who.int"
"hydrocortisone","Dermatological medicines > Anti-inflammatory and antipruritic medicines","Local > Topical > Cream: 1% (acetate)
Local > Topical > Ointment: 1% (acetate)","Lichen planus","","Added","D07AA02","who.int"
"hydrocortisone","Dermatological medicines > Anti-inflammatory and antipruritic medicines","Local > Topical > Cream: 1% (acetate)
Local > Topical > Ointment: 1% (acetate)","Pruritus due to skin disorder","","Added","D07AA02","who.int"
"hydrocortisone","Dermatological medicines > Anti-inflammatory and antipruritic medicines","Local > Topical > Cream: 1% (acetate)
Local > Topical > Ointment: 1% (acetate)","Psoriasis of unspecified type","","Added","D07AA02","who.int"
"hydromorphone","Opioid analgesics","","Pain","","Added","nan","who.int"
"hydroxocobalamin","Antianaemia medicines","Parenteral > General injections > IM: 1 mg per  mL in 1 mL ampoule (as acetate); 1 mg per  mL in 1 mL ampoule (as hydrochloride); 1 mg per  mL in 1 mL ampoule (as sulfate)","Megaloblastic anaemia due to vitamin B12 deficiency","","Added","B03BA03","who.int"
"hydroxycarbamide (hydroxyurea)","Cytotoxic medicines","Oral > Solid: 200 mg; 250 mg; 300 mg; 400 mg; 500 mg; 1 g
Oral > Solid > dosage form: 200 mg; 300 mg; 400 mg; 500 mg; 1 g; 100 mg","Squamous cell carcinoma of oropharynx","","Removed","L01XX05","who.int"
"hydroxycarbamide (hydroxyurea)","Cytotoxic medicines","Oral > Solid: 200 mg; 250 mg; 300 mg; 400 mg; 500 mg; 1 g
Oral > Solid > dosage form: 200 mg; 300 mg; 400 mg; 500 mg; 1 g; 100 mg","Chronic myeloid leukaemia, not elsewhere classified","","Added","L01XX05","who.int"
"hydroxycarbamide (hydroxyurea)","Other medicines for haemoglobinopathies","Oral > Solid > dosage form: 200 mg; 500 mg; 1 g; 100 mg","Other specified sickle cell disorders or other haemoglobinopathies","","Added","L01XX05","who.int"
"hydroxychloroquine","Antimalarial medicines > For chemoprevention","","Malaria due to Plasmodium falciparum","","Removed","nan","who.int"
"hydroxychloroquine","Disease-modifying anti-rheumatic drugs (DMARDs)","Oral > Solid: 200 mg (as sulfate)","Systemic lupus erythematosus","","Added","P01BA02","who.int"
"hydroxychloroquine","Disease-modifying anti-rheumatic drugs (DMARDs)","Oral > Solid: 200 mg (as sulfate)","Cutaneous lupus erythematosus of unspecified type","","Added","P01BA02","who.int"
"hyoscine butylbromide","Medicines for other common symptoms in palliative care","Parenteral > General injections > unspecified: 20 mg per  mL injection","Palliative care","","Added","A03BB01","who.int"
"hyoscine hydrobromide","Medicines for other common symptoms in palliative care","Local > Topical > Transdermal patch: 1 mg per 72 hours transdermal patch
Parenteral > General injections > unspecified: 400 µg per  mL injection; 600 µg per  mL injection","Palliative care","","Added","A04AD01","who.int"
"hypochlorous acid","Antiseptics","Local > Topical > Solution: ","Disinfectant, not elsewhere classified","","Removed","nan","who.int"
"ibrutinib","Targeted therapies","Oral > Solid: 140 mg","Chronic lymphocytic leukaemia or small lymphocytic lymphoma","","Added","L01EL01","who.int"
"ibuprofen","Medicines administered to the neonate [c]","Parenteral > General injections > IV: 5 mg per  mL","Patent arterial duct","","Added","C01EB16","who.int"
"ibuprofen","Non-opioids and non-steroidal anti-inflammatory medicines (NSAIMs)","Oral > Liquid: 200 mg per 5 mL; 100 mg per 5 mL
Oral > Solid > tablet: 200 mg; 400 mg; 600 mg","Pain","","Added","M01AE01","who.int"
"ibuprofen","Antimigraine medicines > For treatment of acute attack","Oral > Liquid: 100 mg per 5 mL; 200 mg per 5 mL
Oral > Solid > tablet: 200 mg; 400 mg","Migraine","","Added","M01AE01","who.int"
"idoxuridine","Ophthalmological preparations > Anti-infective agents","Local > Ophthalmological > Solution (eye drops): 0.1%
Local > Ophthalmological > Ointment: 0.2%","Herpes simplex keratitis","","Removed","S01AD01","who.int"
"ifosfamide","Cytotoxic medicines","Parenteral > General injections > IV: 500 mg in vial powder for injection; 1 g in vial powder for injection; 2 g in vial powder for injection
Parenteral > General injections > IV: 1 g in vial powder for injection; 2 g in vial powder for injection","Other specified malignant neoplasms of the ovary","","Added","L01AA06","who.int"
"ifosfamide","Cytotoxic medicines","Parenteral > General injections > IV: 500 mg in vial powder for injection; 1 g in vial powder for injection; 2 g in vial powder for injection
Parenteral > General injections > IV: 1 g in vial powder for injection; 2 g in vial powder for injection","Germ cell tumour of testis","","Added","L01AA06","who.int"
"ifosfamide","Cytotoxic medicines","Parenteral > General injections > IV: 500 mg in vial powder for injection; 1 g in vial powder for injection; 2 g in vial powder for injection
Parenteral > General injections > IV: 1 g in vial powder for injection; 2 g in vial powder for injection","Ewing sarcoma of bone and articular cartilage of unspecified sites","","Added","L01AA06","who.int"
"ifosfamide","Cytotoxic medicines","Parenteral > General injections > IV: 500 mg in vial powder for injection; 1 g in vial powder for injection; 2 g in vial powder for injection
Parenteral > General injections > IV: 1 g in vial powder for injection; 2 g in vial powder for injection","Osteosarcoma of bone and articular cartilage of unspecified sites","","Added","L01AA06","who.int"
"ifosfamide","Cytotoxic medicines","Parenteral > General injections > IV: 500 mg in vial powder for injection; 1 g in vial powder for injection; 2 g in vial powder for injection
Parenteral > General injections > IV: 1 g in vial powder for injection; 2 g in vial powder for injection","Rhabdomyosarcoma primary site","","Added","L01AA06","who.int"
"ifosfamide","Cytotoxic medicines","Parenteral > General injections > IV: 500 mg in vial powder for injection; 1 g in vial powder for injection; 2 g in vial powder for injection
Parenteral > General injections > IV: 1 g in vial powder for injection; 2 g in vial powder for injection","Unspecified malignant neoplasms of ill-defined or unspecified sites","","Removed","L01AA06","who.int"
"ifosfamide","Cytotoxic medicines","Parenteral > General injections > IV: 500 mg in vial powder for injection; 1 g in vial powder for injection; 2 g in vial powder for injection
Parenteral > General injections > IV: 1 g in vial powder for injection; 2 g in vial powder for injection","Burkitt lymphoma including Burkitt leukaemia","","Added","L01AA06","who.int"
"ifosfamide","Cytotoxic medicines","Parenteral > General injections > IV: 500 mg in vial powder for injection; 1 g in vial powder for injection; 2 g in vial powder for injection
Parenteral > General injections > IV: 1 g in vial powder for injection; 2 g in vial powder for injection","Malignant neoplasms of kidney, except renal pelvis","","Added","L01AA06","who.int"
"ifosfamide","Cytotoxic medicines","Parenteral > General injections > IV: 500 mg in vial powder for injection; 1 g in vial powder for injection; 2 g in vial powder for injection
Parenteral > General injections > IV: 1 g in vial powder for injection; 2 g in vial powder for injection","Anaplastic large cell lymphoma, ALK-negative","","Added","L01AA06","who.int"
"ifosfamide","Cytotoxic medicines","Parenteral > General injections > IV: 500 mg in vial powder for injection; 1 g in vial powder for injection; 2 g in vial powder for injection
Parenteral > General injections > IV: 1 g in vial powder for injection; 2 g in vial powder for injection","Anaplastic large cell lymphoma, ALK-positive","","Added","L01AA06","who.int"
"imatinib","Targeted therapies","Oral > Solid: 100 mg; 400 mg","B lymphoblastic leukaemia or lymphoma with t(9:22) (q34;q11.2); BCR-ABL1","","Added","L01EA01","who.int"
"imatinib","Targeted therapies","Oral > Solid: 100 mg; 400 mg","Gastrointestinal stromal tumour of unspecified gastrointestinal sites","","Added","L01EA01","who.int"
"imatinib","Targeted therapies","Oral > Solid: 100 mg; 400 mg","Chronic myeloid leukaemia, not elsewhere classified","","Added","L01EA01","who.int"
"imipenem + cilastatin","Watch group antibiotics","Parenteral > General injections > IV: 250 mg (as monohydrate) + 250 mg (as sodium salt) powder for injection; 500 mg (as monohydrate) + 500 mg (as sodium salt) powder for injection
","Peritonitis (severe)","","Added","J01DH02","who.int"
"imipenem + cilastatin","Watch group antibiotics","Parenteral > General injections > IV: 250 mg (as monohydrate) + 250 mg (as sodium salt) powder for injection; 500 mg (as monohydrate) + 500 mg (as sodium salt) powder for injection
","Peritoneal abscess (severe)","","Added","J01DH02","who.int"
"imipenem + cilastatin","Watch group antibiotics","Parenteral > General injections > IV: 250 mg (as monohydrate) + 250 mg (as sodium salt) powder for injection; 500 mg (as monohydrate) + 500 mg (as sodium salt) powder for injection
","Neutropenia (high-risk)","","Added","J01DH02","who.int"
"imipenem + cilastatin","Watch group antibiotics","Parenteral > General injections > IV: 250 mg (as monohydrate) + 250 mg (as sodium salt) powder for injection; 500 mg (as monohydrate) + 500 mg (as sodium salt) powder for injection
","Pseudomonas aeruginosa resistant to other antibiotic","","Removed","J01DH51","who.int"
"imipenem + cilastatin","Watch group antibiotics","Parenteral > General injections > IV: 250 mg (as monohydrate) + 250 mg (as sodium salt) powder for injection; 500 mg (as monohydrate) + 500 mg (as sodium salt) powder for injection
","Antibiotic resistant Acinetobacter baumannii","","Removed","J01DH51","who.int"
"imipenem + cilastatin","Antituberculosis medicines","","Multi-drug resistant Mycobacterium tuberculosis","","Added","nan","who.int"
"imipenem + cilastatin + relebactam","Reserve group antibiotics","Parenteral > General injections > IV: 500 mg + 500 mg + 250 mg powder for injection","Other specified other antibiotic resistant Enterobacterales","","Removed","J01DH56","who.int"
"imipenem + cilastatin + relebactam","Reserve group antibiotics","Parenteral > General injections > IV: 500 mg + 500 mg + 250 mg powder for injection","Carbapenem resistant Enterobacterales","","Removed","J01DH56","who.int"
"imipenem + cilastatin + relebactam","Reserve group antibiotics","Parenteral > General injections > IV: 500 mg + 500 mg + 250 mg powder for injection","Carbapenem-resistant Pseudomonas aeruginosa","","Removed","J01DH56","who.int"
"indapamide","Antihypertensive medicines","","Essential hypertension","","Added","nan","who.int"
"indapamide","Medicines used in heart failure","","Heart failure","","Added","nan","who.int"
"indinavir","Antiretrovirals > Protease inhibitors","Oral > Solid: 400 mg (as sulfate)","Human immunodeficiency virus disease without mention of associated disease or condition, clinical stage unspecified","","Removed","J05AE02","who.int"
"indometacin","Medicines administered to the neonate [c]","","Patent arterial duct","","Added","nan","who.int"
"infliximab","Immunomodulators for non-malignant disease","","Axial spondyloarthritis","","Added","nan","who.int"
"infliximab","Immunomodulators for non-malignant disease","","Crohn disease site","","Added","nan","who.int"
"infliximab","Immunomodulators for non-malignant disease","","Rheumatoid arthritis","","Added","nan","who.int"
"infliximab","Medicines for juvenile joint diseases","","Juvenile idiopathic arthritis","","Added","nan","who.int"
"influenza vaccine (seasonal)","Recommendations for immunization programmes with certain characteristics","All vaccines should comply with the WHO requirements for biological substances.","Need for immunization against influenza","","Added","J07BB01","who.int"
"influenza vaccine (seasonal)","Recommendations for immunization programmes with certain characteristics","All vaccines should comply with the WHO requirements for biological substances.","Need for immunization against influenza","","Added","J07BB02","who.int"
"influenza vaccine (seasonal)","Recommendations for immunization programmes with certain characteristics","All vaccines should comply with the WHO requirements for biological substances.","Need for immunization against influenza","","Added","J07BB03","who.int"
"insulin analogues","Insulins","Not specified","Type 1 diabetes mellitus","","Removed","A10AE04","who.int"
"insulin analogues","Insulins","Not specified","Type 1 diabetes mellitus","","Removed","A10AE05","who.int"
"insulin analogues","Insulins","Not specified","Type 1 diabetes mellitus","","Removed","A10AB05","who.int"
"insulin analogues","Insulins","Not specified","Type 1 diabetes mellitus","","Removed","A10AD05","who.int"
"insulin analogues","Insulins","Not specified","Type 1 diabetes mellitus","","Removed","A10AB04","who.int"
"insulin analogues","Insulins","Not specified","Type 1 diabetes mellitus","","Removed","A10AC04","who.int"
"insulin analogues","Insulins","Not specified","Type 1 diabetes mellitus","","Removed","A10AD04","who.int"
"insulin analogues","Insulins","Not specified","Type 1 diabetes mellitus","","Removed","A10AB06","who.int"
"insulin analogues","Insulins","Not specified","Type 1 diabetes mellitus","","Removed","A10AE06","who.int"
"insulin analogues","Insulins","Not specified","Type 2 diabetes mellitus","","Removed","A10AE04","who.int"
"insulin analogues","Insulins","Not specified","Type 2 diabetes mellitus","","Removed","A10AE05","who.int"
"insulin analogues","Insulins","Not specified","Type 2 diabetes mellitus","","Removed","A10AB05","who.int"
"insulin analogues","Insulins","Not specified","Type 2 diabetes mellitus","","Removed","A10AD05","who.int"
"insulin analogues","Insulins","Not specified","Type 2 diabetes mellitus","","Removed","A10AB04","who.int"
"insulin analogues","Insulins","Not specified","Type 2 diabetes mellitus","","Removed","A10AC04","who.int"
"insulin analogues","Insulins","Not specified","Type 2 diabetes mellitus","","Removed","A10AD04","who.int"
"insulin analogues","Insulins","Not specified","Type 2 diabetes mellitus","","Removed","A10AB06","who.int"
"insulin analogues","Insulins","Not specified","Type 2 diabetes mellitus","","Removed","A10AE06","who.int"
"insulin degludec","Insulins","Parenteral > General injections > SC: 100 units per  mL
","Type 1 diabetes mellitus","","Removed","nan","who.int"
"insulin degludec","Insulins","Parenteral > General injections > SC: 100 units per  mL
","Type 1 diabetes mellitus","","Added","nan","who.int"
"insulin degludec","Insulins","Parenteral > General injections > SC: 100 units per  mL
","Type 2 diabetes mellitus","","Added","nan","who.int"
"insulin detemir","Insulins","","Type 1 diabetes mellitus","","Removed","nan","who.int"
"insulin detemir","Insulins","","Type 1 diabetes mellitus","","Added","nan","who.int"
"insulin detemir","Insulins","","Type 2 diabetes mellitus","","Added","nan","who.int"
"insulin glargine","Insulins","Parenteral > General injections > SC: 100 units per  mL
","Type 1 diabetes mellitus","","Removed","A10AE04","who.int"
"insulin glargine","Insulins","Parenteral > General injections > SC: 100 units per  mL
","Type 1 diabetes mellitus","","Added","nan","who.int"
"insulin glargine","Insulins","Parenteral > General injections > SC: 100 units per  mL
","Type 2 diabetes mellitus","","Added","nan","who.int"
"intraperitoneal dialysis solution","Peritoneal dialysis solution","parenteral solution","Care involving peritoneal dialysis","","Added","nan","who.int"
"iodine","Vitamins and minerals","Parenteral > General injections > IM: 0.5 mL (240 mg iodine) iodized oil in ampoule; 1 mL (480 mg iodine) iodized oil in ampoule
Oral > Liquid: 1 mL (480 mg iodine) iodized oil in ampoule; 0.5 mL (240 mg iodine) iodized oil in ampoule; 0.57 mL (308 mg iodine) iodized oil in dispenser bottle
Oral > Solid: 190 mg","Iodine deficiency","","Added","H03CA","who.int"
"iodine","Antiseptics","","Povidone iodine","","Added","nan","who.int"
"iohexol","Diagnostic agents > Radiocontrast media","Parenteral > General injections > unspecified: 140 to 350 mg iodine per  mL in 5 mL ampoule; 140 to 350 mg iodine per  mL in 10 mL ampoule; 140 to 350 mg iodine per  mL in 20 mL ampoule","X-ray contrast media, iodinated","","Added","V08AB02","who.int"
"ipecacuanha","Antidotes and other substances used in poisonings > Non-specific","Oral > Liquid: 0.14% ipecacuanha alkaloids calculated as emetine","Unspecified injury, poisoning or certain other consequences of external causes","","Removed","V03AB01","who.int"
"ipratropium bromide","Antiasthmatic and medicines for chronic obstructive pulmonary disease","Respiratory > Inhalation > aerosol: 20 µg per  dose","Asthma","","Added","R03BB01","who.int"
"ipratropium bromide","Antiasthmatic and medicines for chronic obstructive pulmonary disease","Respiratory > Inhalation > aerosol: 20 µg per  dose","Chronic obstructive pulmonary disease","","Added","R03BB01","who.int"
"irinotecan","Cytotoxic medicines","Parenteral > General injections > IV: 40 mg per 2 mL in 2 mL vial; 100 mg per 5 mL in 5 mL vial; 500 mg per 25 mL in 25 mL vial","Malignant neoplasm metastasis in large intestine","","Added","L01CE02","who.int"
"irinotecan","Cytotoxic medicines","Parenteral > General injections > IV: 40 mg per 2 mL in 2 mL vial; 100 mg per 5 mL in 5 mL vial; 500 mg per 25 mL in 25 mL vial","Malignant neoplasms of kidney, except renal pelvis","","Added","L01CE02","who.int"
"irinotecan","Cytotoxic medicines","Parenteral > General injections > IV: 40 mg per 2 mL in 2 mL vial; 100 mg per 5 mL in 5 mL vial; 500 mg per 25 mL in 25 mL vial","Rhabdomyosarcoma primary site","","Added","L01CE02","who.int"
"isoflurane","General anaesthetics and oxygen > Inhalational medicines","Respiratory > Inhalation > liquid: ","Anaesthetics and therapeutic gases","","Added","N01AB06","who.int"
"isoniazid","Antituberculosis medicines","Parenteral > General injections > IV: 100 mg per  mL
Oral > Solid: 100 mg tablet; 100 mg tablet (dispersible); 300 mg tablet","Other specified tuberculosis","","Removed","J04AC01","who.int"
"isoniazid","Antituberculosis medicines","Parenteral > General injections > IV: 100 mg per  mL
Oral > Solid: 100 mg tablet; 100 mg tablet (dispersible); 300 mg tablet","Tuberculosis","","Added","J04AC01","who.int"
"isoniazid + pyrazinamide + rifampicin","Antituberculosis medicines","Oral > Solid: 50 mg + 150 mg + 75 mg tablet (dispersible)","Tuberculosis","","Added","J04AM05","who.int"
"isoniazid + pyridoxine + sulfamethoxazole + trimethoprim","Medicines for prevention of HIV-related opportunistic infections","Oral > Solid: 300 mg + 25 mg + 800 mg + 160 mg tablet (scored)","Other specified prophylactic measures","","Added","J04AC51","who.int"
"isoniazid + rifampicin","Antituberculosis medicines","Oral > Solid: 50 mg + 75 mg tablet (dispersible); 75 mg + 150 mg tablet; 150 mg + 300 mg tablet","Tuberculosis","","Added","J04AM02","who.int"
"isoniazid + rifapentine","Antituberculosis medicines","Oral > Solid: 300 mg + 300 mg tablet (scored)","Latent tuberculosis","","Added","J04AC51","who.int"
"isoprenaline","Antiarrhythmic medicines","Parenteral > General injections > IV: 20 µg per  mL in ampoule (hydrochloride)
Oral > Solid: 10 mg (hydrochloride or sulfate); 15 mg (hydrochloride or sulfate)","Bradycardia","","Removed","C01CA02","who.int"
"isoprenaline","Antiarrhythmic medicines","Parenteral > General injections > IV: 20 µg per  mL in ampoule (hydrochloride)
Oral > Solid: 10 mg (hydrochloride or sulfate); 15 mg (hydrochloride or sulfate)","Cardiogenic shock","","Removed","C01CA02","who.int"
"isosorbide dinitrate","Antianginal medicines","Oral > Solid: 5 mg sublingual tablet","Angina pectoris","","Added","C01DA08","who.int"
"itraconazole","Antifungal medicines","Oral > Liquid: 10 mg per  mL
Oral > Solid: 100 mg","Chronic pulmonary aspergillosis","","Added","J02AC02","who.int"
"itraconazole","Antifungal medicines","Oral > Liquid: 10 mg per  mL
Oral > Solid: 100 mg","Chromoblastomycosis","","Added","J02AC02","who.int"
"itraconazole","Antifungal medicines","Oral > Liquid: 10 mg per  mL
Oral > Solid: 100 mg","Histoplasmosis","","Added","J02AC02","who.int"
"itraconazole","Antifungal medicines","Oral > Liquid: 10 mg per  mL
Oral > Solid: 100 mg","Talaromycosis","","Added","J02AC02","who.int"
"itraconazole","Antifungal medicines","Oral > Liquid: 10 mg per  mL
Oral > Solid: 100 mg","Sporotrichosis","","Added","J02AC02","who.int"
"itraconazole","Antifungal medicines","Oral > Liquid: 10 mg per  mL
Oral > Solid: 100 mg","Paracoccidioidomycosis","","Added","J02AC02","who.int"
"ivermectin","Intestinal anthelminthics","Oral > Solid > tablet: 3 mg","Strongyloidiasis","","Added","P02CF01","who.int"
"ivermectin","Intestinal anthelminthics","Oral > Solid > tablet: 3 mg","Ascariasis","","Added","P02CF01","who.int"
"ivermectin","Intestinal anthelminthics","Oral > Solid > tablet: 3 mg","Trichuriasis","","Added","P02CF01","who.int"
"ivermectin","Intestinal anthelminthics","Oral > Solid > tablet: 3 mg","Hookworm diseases","","Added","P02CF01","who.int"
"ivermectin","Intestinal anthelminthics","Oral > Solid > tablet: 3 mg","Ancylostomiasis","","Added","P02CF01","who.int"
"ivermectin","Antifilarials","Oral > Solid > tablet: 3 mg","Onchocerciasis","","Added","P02CF01","who.int"
"ivermectin","Antifilarials","Oral > Solid > tablet: 3 mg","Lymphatic filariasis","","Added","P02CF01","who.int"
"ivermectin","Medicines for ectoparasitic infections","Oral > Solid > tablet: 3 mg","Scabies","","Added","P02CF01","who.int"
"kanamycin","Ophthalmological preparations > Anti-infective agents","","Other specified conjunctivitis","","Added","nan","who.int"
"kanamycin","Ophthalmological preparations > Anti-infective agents","","Infectious blepharitis","","Added","nan","who.int"
"kanamycin (injection)","Antituberculosis medicines","Parenteral > General injections > IV: 1000 mg powder for injection (vial)","Multi-drug resistant Mycobacterium tuberculosis","","Removed","J01GB04","who.int"
"ketamine","General anaesthetics and oxygen > Injectable medicines","Parenteral > General injections > unspecified: 50 mg per  mL in 10 mL vial (as hydrochloride)","Anaesthetics and therapeutic gases","","Added","N01AX03","who.int"
"lactulose","Medicines for other common symptoms in palliative care","Oral > Liquid: 3.1 to 3.7 g per 5 mL oral liquid","Palliative care","","Added","A06AD11","who.int"
"lamivudine","Antiretrovirals > Nucleoside/Nucleotide reverse transcriptase inhibitors","Oral > Liquid: 50 mg per 5 mL
Oral > Solid: 150 mg tablet","Human immunodeficiency virus disease without mention of associated disease or condition, clinical stage unspecified","","Added","J05AF05","who.int"
"lamivudine + nevirapine + zidovudine","Fixed-dose combinations of antiretrovirals","Oral > Solid: 30 mg + 50 mg + 60 mg Tablet; 150 mg + 200 mg + 300 mg Tablet","Human immunodeficiency virus disease without mention of associated disease or condition, clinical stage unspecified","","Removed","J05AR05","who.int"
"lamivudine + tenofovir","Fixed-dose combinations of antiretrovirals","","Human immunodeficiency virus disease without mention of associated disease or condition, clinical stage unspecified","","Added","nan","who.int"
"lamivudine + tenofovir","Fixed-dose combinations of antiretrovirals","","Contact with or exposure to human immunodeficiency virus","","Added","nan","who.int"
"lamivudine + zidovudine","Fixed-dose combinations of antiretrovirals","Oral > Solid: 30 mg + 60 mg Tablet; 150 mg + 300 mg Tablet","Human immunodeficiency virus disease without mention of associated disease or condition, clinical stage unspecified","","Added","J05AR01","who.int"
"lamotrigine","Antiseizure medicines","Oral > Solid: 25 mg tablet; 50 mg tablet; 100 mg tablet; 200 mg tablet; 2 mg tablet (chewable, dispersible); 5 mg tablet (chewable, dispersible); 25 mg tablet (chewable, dispersible); 50 mg tablet (chewable, dispersible); 100 mg tablet (chewable, dispersible); 200 mg tablet (chewable, dispersible)","Epilepsy or seizures","","Added","N03AX09","who.int"
"latanoprost","Ophthalmological preparations > Miotics and antiglaucoma medicines","Local > Ophthalmological > Solution (eye drops): 50 µg per  mL eye drops","Primary open-angle glaucoma","","Added","S01EE01","who.int"
"ledipasvir + sofosbuvir","Medicines for hepatitis C > Non-pangenotypic direct-acting antiviral combinations","Oral > Solid: 90 mg + 400 mg tablet","Chronic hepatitis C","","Added","J05AP51","who.int"
"lenalidomide","Immunomodulators","Oral > Solid: 25 mg","Plasma cell myeloma","","Added","L04AX04","who.int"
"leuprorelin","Hormones and antihormones","Parenteral > General injections > IM: 7.5 mg in prefilled syringe; 22.5 mg in prefilled syringe","Malignant neoplasms of breast","","Added","L02AE02","who.int"
"leuprorelin","Hormones and antihormones","Parenteral > General injections > IM: 7.5 mg in prefilled syringe; 22.5 mg in prefilled syringe","Malignant neoplasms of prostate","","Added","L02AE02","who.int"
"levamisole","Intestinal anthelminthics","Oral > Solid > tablet: 50 mg  (as hydrochloride); 150 mg  (as hydrochloride)","Ascariasis","","Added","P02CE01","who.int"
