atc_classification,activeingredient,activeingredient_cy,brandname_uk_cy,brandname_uk_lat,manufacturer,dosage_cy,dosage,info_uk
C04AC01,Nicotinic acid,Нікотинова кислота,НІКОТИНОВА КИСЛОТА‐ЗДОРОВ’Я,NICOTINIC ACID‐ ZDOROVYE,"ТОВ
""Фармацевтична компанія
""Здоров'я"", Україна",розчин для ін'єкцій 10 мг/мл по 1 мл в ампулі;,solution for injection 10 mg / ml 1 ml in an ampoule;,https://compendium.com.ua/info/1969/nikotinovaja‐kislota‐zdorov_e/
C04AD02,Xantinol nicotinate,Ксантинолу нікотинату,КСАНТИНОЛУ НІКОТИНАТ,XANTINOL NICOTINAТЕ,"ПАТ ""Галичфарм"", Україна","‐ розчин для ін'єкцій 150 мг/мл по 2 мл в ампулі;
‐ таблетки по 150
мг;","‐ solution for injection 150 mg / ml in 2 ml ampoules;
‐ tablets 150 mg each
;",https://compendium.com.ua/info/1888/ksantinola‐nikotinat/
C04AD03,Pentoxifylline,Пентоксифілін,АГАПУРИН® СР 400,AGAPURIN® SR 400,"АТ ""Санека Фармасьютікалз"", Словацька
Республіка","таблетки, пролонгованої дії по 400 мг;","tablets, prolonged action of 400 mg;",https://compendium.com.ua/info/173619/agapurin‐sup‐sup‐sr‐400/
C04AD03,Pentoxifylline,Пентоксифілін,ВАЗИТРЕН,VAZITREN,"ТОВ ""Ніко"", м.Макіївка, Донецька обл., Україна","‐ таблетки ретард, по 600 мг,
‐ розчин для ін'єкцій
20 мг/мл, по 5 мл в
ампулі;","‐ retard tablets, 600 mg,
‐ solution for injection 20 mg / ml,
5 ml in an ampoule;",https://compendium.com.ua/info/354830/vazitren/
C04AD03,Pentoxifylline,Пентоксифілін,ЛАТРЕН®,LATRENUM,"ТОВ ""Юрія‐Фарм"",
м.Київ, Україна","розчин для інфузій, 0,5 мг/мл по 100 мл або по 200 мл, або по 400
мл у
пляшках;","solution for infusion,
0.5 mg / ml in 100 ml or 200 ml or 400 ml in bottles;",https://compendium.com.ua/info/170734/latren‐sup‐sup‐/
C04AD03,Pentoxifylline,Пентоксифілін,ПЕНТИЛІН,PENTILIN®,"КРКА, д.д., Ново место, Словенія","‐ таблетки пролонгованої дії по 400 мг;
‐ розчин для ін'єкцій, 100 мг/5 мл по 5 мл (100 мг) в
ампулі;","‐ prolonged‐release tablets of 400 mg;
‐ solution for injection, 100 mg / 5
ml of 5 ml (100 mg) in an ampoule;",https://compendium.com.ua/info/1572/pentilin/
C04AD03,Pentoxifylline,Пентоксифілін,ПЕНТОКСИФІЛІН,РENTOXIFYLLINE,"ПрАТ ""Технолог"", м. Умань, Черкаська
обл., Україна",таблетки по 100 мг;,100 mg tablets;,https://compendium.com.ua/info/166375/45767‐45768/
C04AD03,Pentoxifylline,Пентоксифілін,ПЕНТОКСИФІЛІН,РENTOXIFYLLINE,"ТОВ ""Юрія‐Фарм"",
м.Київ, Україна","розчин для ін`єкцій, 20 мг/мл по 5 мл в ампулах;","solution for injections, 20 mg / ml on 5 ml in
ampoules;",https://compendium.com.ua/info/280535/427278/
C04AD03,Pentoxifylline,Пентоксифілін,ПЕНТОКСИФІЛІН‐ ДАРНИЦЯ,"РENTOXIFYLLINE‐
DARNITSA","ПрАТ
""Фармацевтична фірма ""Дарниця"",
Україна","розчин для ін'єкцій, 20 мг/мл по 5 мл в ампулі;","solution for injection, 20 mg / ml 5 ml in an ampoule;",https://compendium.com.ua/info/7847/pentoksifillin‐darnitsa/
C04AD03,Pentoxifylline,Пентоксифілін,ПЕНТОКСИФІЛІН‐ ЗДОРОВ’Я,PENTOXIFYLLINE‐ ZDOROVYE,"ТОВ
""Фармацевтична компанія
""Здоров'я"", Україна","розчин для ін'єкцій, 20 мг/мл по 5 мл в ампулі;","solution for injection, 20 mg / ml 5 ml in an ampoule;",https://compendium.com.ua/info/54485/pentoksifillin‐zdorov_e/
C04AD03,Pentoxifylline,Пентоксифілін,ПЕНТОТРЕН,PENTOTREN,"ПрАТ
""Фармацевтична фірма ""Дарниця"",
Україна","розчин для інфузій, 0,5 мг/мл по 200 мл у флаконах;","solution for infusion,
0.5 mg / ml in 200 ml vials;",https://compendium.com.ua/info/255187/pentotren/
C04AD03,Pentoxifylline,Пентоксифілін,ВАЗОНІТ,VASONIT,"Г.Л. Фарма ГмбХ, Австрія","таблетки ретард, по
600 мг;","retard tablets, 600 mg;",https://compendium.com.ua/info/166762/vazonit/
C04AD03,Pentoxifylline,Пентоксифілін,ТРЕНТАЛ® 400 мг,TRENTAL® 400 мг,"Зентіва Прайвіт Лімітед, Індія","таблетки, пролонгованої дії
по 400 мг;","tablets, prolonged action of 400 mg;",https://compendium.com.ua/info/4851/trental‐sup‐sup‐/
C04AE02,Nicergoline,Ніцерголін,СЕРМІОН®,SERMION®,"Ваєт Фарма, С.А.","ліофілізат для розчину для ін'єкцій
по 4 мг;","lyophilisate for solution for injection
of 4 mg;",https://compendium.com.ua/info/11654/sermion/
C04AE02,Nicergoline,Ніцерголін,СЕРМІОН®,SERMION®,"Пфайзер Італія
С.р.л., Італія","таблетки, по 30 мг;
10 мг; 5 мг;","tablets, 30 mg; 10
mg; 5 mg;",NA
C04AE02,Nicergoline,Ніцерголін,НІЦЕРГОЛІН,NICERGOLINE,"ПАТ ""Галичфарм"",
Україна","таблетки, по 10 мг;","tablets, 10 mg ;",https://compendium.com.ua/info/166500/nitsergolin/
C04AE02,Nicergoline,Ніцерголін,НІЦЕРОМАКС,NICEROMAX,"ТОВ ""Фармекс Груп"", Україна","ліофілізат для розчину для ін'єкцій
по 4 мг;","lyophilisate for solution for injection
of 4 mg;",https://compendium.com.ua/info/200435/
C04AX,Bendazol,Бендазол,БЕНДАЗОЛ,BENDAZOL,"ПАТ ""Лекхім‐ Харків"", Україна ТОВ Науково‐виробнича фірма
""МІКРОХІМ"",
Україна","розчин для ін`єкцій, 10 мг/мл, по 1 мл в ампулі;","solution for injection, 10 mg / ml, 1 ml in an ampoule;",NA
C04AX,Bendazol,Бендазол,ДИБАЗОЛ‐ДАРНИЦЯ,DIBAZOL‐DARNITSA,"ПрАТ
""Фармацевтична","‐ таблетки по 20 мг;
‐ розчин для
ін'єкцій, 10 мг/мл","‐ tablets of 20 mg;
‐ solution for
injection, 10 mg / ml",https://compendium.com.ua/info/13769/dibazol‐darnitsa/
NA,NA,NA,NA,NA,"фірма ""Дарниця"",
Україна","по 1 мл або 5 мл в
ампулі;","in 1 ml or 5 ml in an
ampoule;",NA
C04AX07,Vincamine,Вінкамін,ВІНОКСИН МВ,VINOXIN MR,"ТОВ ""Фарма Старт"", м.Київ, Україна","таблетки пролонгованої дії
по 30 мг;",prolonged‐release tablets of 30 mg ;,https://compendium.com.ua/info/173397/vinoksin‐mv/
C04AX21,Naftidrofuryl,Нафтидрофурил,"ЕНЕЛБІН® 100
РЕТАРД",ENELBIN® 100 RETARD,"ТОВ ""Зентіва"",
Чеська Республіка","таблетки, пролонгованої дії по 100 мг;","tablets, prolonged action of 100 mg;",https://compendium.com.ua/info/47829/enelbin‐sup‐sup‐100‐retard/
C04AX,Comb drug,Бендазол/ Папаверин,ПАПАЗОЛ‐ДАРНИЦЯ,PAPAZOL‐DARNITSA,"ПрАТ
""Фармацевтична фірма ""Дарниця"",
Україна",таблетки по 30 мг/ 30 мг;,30 mg / 30 mg tablets ;,https://compendium.com.ua/info/2913/papazol‐darnitsa/
C05CA01,Rutoside,Венорутинол,ВЕНОРУТИНОЛ,VENORUTINOL,"ПАТ ""Науково‐ виробничий центр ""Борщагівський хіміко‐
фармацевтичний
завод"", Україна",капсули по 300 мг;,300 mg capsules;,https://compendium.com.ua/info/135367/venorutinol/
C05CA03,Diosmin,Діосмін,ВАЗОКЕТ®,VASOKET®,Фармеаль Лаборатуар,таблетки по 600 мг;,600 mg tablets;,https://compendium.com.ua/info/169848/vazoket‐sup‐sup‐/
C05CA03,Diosmin,Діосмін,ФЛЄБОДІА 600 МГ,PHLEBODIA 600 MG,"Іннотера Шузі, Франція","таблетки, по 600 мг;","tablets, 600 mg;",https://compendium.com.ua/info/167687/flebodia‐600‐mg/
C05CA03,Diosmin,Діосмін,ФЛЕБАВЕН® 1000,FLEBAVEN® 1000,"КРКА, д.д., Ново место, Словенія","таблетки, по 1000
мг;","tablets, 1000 mg;",https://compendium.com.ua/info/353672/
C05CA04,Troxerutin,Троксерутин,ФЛЕБОТОН,PHLEBOTON,"АТ ""Софарма"",
Болгарія","капсули тверді по
300 мг;",hard capsules of 300 mg;,https://compendium.com.ua/info/211426/229233/
C05CA04,Troxerutin,Троксерутин,ТРОКСЕВАЗИН®,TROXEVASIN®,"Балканфарма‐ Разград АТ, Болгарія",капсули по 300 мг;,300 mg capsules;,https://compendium.com.ua/info/172788/144824‐226026/
C05CA04,Troxerutin,Троксерутин,ТРОКСЕРУТИН,TROXERUTIN,"ПАТ ""Хімфармзавод ""Червона зірка"", м. Харків, Україна ТОВ
""Фармацевтична компанія ""Здоров'я"", м.
Харків, Україна",капсули по 300 мг;,300 mg capsules;,https://compendium.com.ua/info/152571/404973/
C05CA05,Hidrosmin,Гідросмін,ВЕНОСМІЛ,VENOSMIL,"ФАЕС ФАРМА, С.А.,
Іспанія Менаріні‐ Фон Хейден ГмбХ, Німеччина А. Менаріні
Мануфактурінг Логістікс енд Сервісес С.р.Л.,
Італія",капсули по 200 мг;,200 mg capsules;,https://compendium.com.ua/info/172093/venosmil/
C05CA53,"Diosmin, combinations","Діосмін, гесперидин;",АВЕНЮ®,AVENUE,"АТ ""Фармак""","таблетки, по 500 мг;","tablets, 500 mg;",https://compendium.com.ua/info/251871/avenju/
C05CA53,"Diosmin, combinations",Діосмін/ гесперидин,ВЕНОРМ,VENORM,"ТОВ ""Тернофарм"",
м. Тернопіль,
Україна","таблетки, по 500 мг;","tablets, 500 mg;",https://compendium.com.ua/info/359632/venorm/
C05CA51,"Rutoside, combinations",Кислота аскорбінова/ рутин,АСКОРУТИН,ASCORUTINUM,"ПАТ ""Монфарм"", м. Монастирище, Черкаська обл,
Україна","таблетки, по 10","tablets, 10",https://compendium.com.ua/info/162739/10331/
C05CA51,"Rutoside, combinations",Кислота аскорбінова/ рутин,АСКОРУТИН,ASCORUTINUM,"ПрАТ ""Технолог"", м. Умань, Черкаська
обл., Україна","таблетки, по 10
таблеток у блістері,","tablets, 10 tablets in a blister,",NA
C05CA51,"Rutoside, combinations",Кислота аскорбінова/ рутин,АСКОРУТИН,ASCORUTINUM,"АТ ""Київський вітамінний завод"",
м.Київ, Україна","таблетки по 10
таблеток",tablets of 10 tablets,https://compendium.com.ua/info/89718/24757‐24758/
C05CA51,"Rutoside, combinations",Кислота аскорбінова/ рутин,АСКОРУТИН,ASCORUTINUM,"АТ ""ВІТАМІНИ""","таблетки, по 10
таблеток","tablets, 10 tablets",https://compendium.com.ua/info/162739/83611/
C05CA53,"Diosmin, combinations",Діосмін/ Гесперидин;,ДЕТРАЛЕКС®,DETRALEX®,"Лабораторії Серв' є Індастрі, Франція","таблетки, по 500 мг; 1000 мг;","tablets, 500 mg;
1000 mg",https://compendium.com.ua/info/9120/76689/
C05CA53,"Diosmin, combinations","Діосмін /
Гесперидин",НОРМОВЕН,NORMOVEN,"АТ ""Київський вітамінний завод"",
м.Київ, Україна","таблетки,",tablets,https://compendium.com.ua/info/169861/normoven/
C05CA53,"Diosmin, combinations","діосмін, гесперидин;",ДІОФЛАН®,DIOFLAN),"ПАТ
""Київмедпрепарат"",
м. Київ, Україна","таблетки, по 500 мг;","tablets, 500 mg;",https://compendium.com.ua/info/172794/145221‐294408/
C05CA54,"Troxerutin, combinations","Гінкго білоба /
Гептамінол/
Троксерутин",ГІНКОР ФОРТ,GINKOR FORT,"Бофур Іпсен Індустрі, Франція","капсули; по 10
капсул",capsules; 10 capsules,https://compendium.com.ua/info/169367/ginkor‐fort/
C05CA54,"Troxerutin, combinations","Троксерутину /
Карбазохрому",КАРБАРУТИН,CARBARUTIN,"Мефар Ілач Сан. А.Ш., Туреччина",розчин для ін`єкцій по 3 мл;,solution for injections of 3 ml;,https://compendium.com.ua/info/339059/
C05CX03,Hippocastani semen,"екстракт насіння кінського каштана/Aesculus
hippocastanum",ВЕНОПЛАНТ,VENOPLANT,"Др. Вільмар Швабе ГмбХ і Ко. КГ, Німеччина","таблетки з відстроченим вивільненням, по 20
таблеток;","delayed‐release tablets, 20 tablets;",https://compendium.com.ua/info/52511/venoplant/
C05CX,Lysine,"Eсцинова сіль 2,6‐ діаміногексанової кислоти",L‐ЛІЗИНУ ЕСЦИНАТ®,L‐LYSINE AESCINAT,"ПАТ ""Галичфарм"", м. Львів, Україна ПАТ
""Київмедпрепарат"",
м. Київ, Україна","розчин для ін'єкцій, 1 мг/мл по 5 мл в ампулі;","solution for injection, 1 mg / ml 5 ml in an ampoule;",https://compendium.com.ua/info/120356/l‐lizina‐estsinat‐sup‐sup‐/
C05CX,"Comb drug Hippocastani semina (Sophorae japonicae fructus/ Avenае
fructus / Coryli folia/ Sorbi fructus / Meliloti herba /
Chelidonii herba","Каштану кінського насіння/ софори японської плоди/ вівса плоди/
ліщини листя/ горобини плоди/ буркуну трава/ чистотілу
трава",ВЕНОТОН,VENOTON,"ПАТ ""Хімфармзавод ""Червона зірка"", м. Харків, Україна ТОВ
""Фармацевтична компанія ""Здоров'я"", м.
Харків, Україна",настойка по 100 мл у банці скляній;,tincture of 100 ml in a glass jar;,https://mozdocs.kiev.ua/likiview.php?id=48450
C05CX,Comb drug,Есцину/ Тіамін,ЕСКУВІТ®,ESKUVIT,"ПАТ ""Галичфарм"", м. Львів, Україна ПАТ
""Київмедпрепарат"",
м. Київ, Україна","краплі, по 15 мл; 25
мл;","drops, 15 ml; 25 ml;",https://compendium.com.ua/info/166170/eskuvit‐sup‐sup‐/
C05CX,Comb drug,Екстракту кінського каштану / тіамін,ЕСКУЗАН® КРАПЛІ,‐,"Фарма Вернігероде ГмбХ, Німеччина","краплі оральні по 20
мл;",oral drops of 20 ml;,https://compendium.com.ua/info/12959/eskuzan‐kapli/
C05CX,Comb drug,Екстракту кінського каштану / тіамін,ЕСКУЛЮС‐ЗДОРОВ’Я,‐,"ТОВ
""Фармацевтична компанія
""Здоров'я"", Україна","краплі оральні,","oral drops,",NA
C05CX,Quercetin,Кверцетин,КВЕРТИН,QUERTIN,"ПАТ ""Науково‐ виробничий центр ""Борщагівський хіміко‐
фармацевтичний
завод"", Україна",таблетки жувальні по 40 мг;,chewable tablets of 40 mg;,https://compendium.com.ua/info/173208/164059/
C05CX,Comb drug,Корвітин,КОРВІТИН®,СORVITIN®,"ПАТ ""Науково‐ виробничий центр ""Борщагівський хіміко‐
фармацевтичний
завод"", Україна","ліофілізат для розчину для ін’єкцій по 0,5 г;",lyophilisate for solution for injection of 0.5 g;,https://compendium.com.ua/info/168166/korvitin‐sup‐sup‐/
C05CX,Emoxypin,Метилетилпіридино л,ОФТАЛЕК,OFTALEK,"ПАТ ""Лекхім ‐ Харків""","розчин для ін'єкцій, 10 мг/мл, по 1 мл в
ампулі;","solution for injection, 10 mg / ml, 1 ml in
an ampoule;",https://compendium.com.ua/info/280956/
C05CX,Comb drug,"Екстракт іглиці / Гесперидин / Кислота
аскорбінова",ЦИКЛО 3® ФОРТ,CYCLO 3® FORT,"П'єр Фабр Медикамент Продакшн, Франція","капсули тверді по
10 капсул;",hard capsules; 10 capsules;,https://compendium.com.ua/info/_1039/
C07AA05,Propranolol,Пропранолол,АНАПРИЛІН‐ ЗДОРОВ’Я,ANAPRILIN‐ ZDOROVYE,"ТОВ
""Фармацевтична компанія
""Здоров'я"", Україна",таблетки по 10 мг; 40 мг;,tablets 10 mg; 40 mg;,https://compendium.com.ua/info/113271/anaprilin‐zdorov_e/
C07AA07,Sotalol,Cоталол,СОРИТМІК,SORITMIC,"АТ ""Київський вітамінний завод"",
м.Київ, Україна",таблетки по 160 мг; 80 мг;,"tablets, 160 mg; 80 mg;",https://compendium.com.ua/info/169830/soritmik/
C07AA07,Sotalol,Соталол,СОТАЛОЛ САНДОЗ®,SOTALOL SANDOZ®,"Салютас Фарма ГмбХ, Німеччина",таблетки по 160 мг; 80 мг; 40 мг;,"tablets, 160 mg; 80
mg; 40 mg;",https://compendium.com.ua/info/173560/sotalol‐sandoz‐sup‐sup‐/
C07AB02,Metoprolol,Метопролол,БЕТАЛОК,BETALOC®,"Сенексі, Франція","розчин для ін'єкцій, 1 мг/мл; по 5 мл в
ампулі;","solution for injection, 1 mg / ml;
5 ml in an ampoule;",https://compendium.com.ua/info/169868/betalok/
C07AB02,Metoprolol,Метопролол,БЕТАЛОК ЗОК,BETALOC® ZOK,"АстраЗенека АБ, Швеція","таблетки, з уповільненим вивільненням по
100 мг; 50 мг; 25 мг;","tablets, with a slow release of 100 mg; 50 mg; 25 mg;",https://compendium.com.ua/info/169868/betalok/
C07AB02,Metoprolol,Метопролол;,ЕГІЛОК®,EGILOK®,"ЗАТ
Фармацевтичний завод ЕГІС,
Угорщина",таблетки по 100 мг; 50 мг; 25 мг;,"tablets 100 mg; 50
mg; 25 mg;",https://compendium.com.ua/info/133046/egilok‐sup‐sup‐/
C07AB02,Metoprolol,Метопролол;,КАРДОЛАКС,CARDOLAX,"Мефар Ілач Сан. А.Ш., Туреччина","розчин для ін'єкцій, 1 мг/мл по 5 мл в
ампулі;","solution for injection, 1 mg / ml 5
ml in an ampoule;",NA
C07AB02,Metoprolol,Метопролол;,"КОРВІТОЛ® 50,
КОРВІТОЛ® 100","KORVITOL 50,
KORVITOL 100","БЕРЛІН‐ХЕМІ АГ,
Німеччина",таблетки по 100 мг; 50 мг;,tablets 100 mg; 50 mg;,https://compendium.com.ua/info/2831/korvitol‐sup‐sup‐/
C07AB02,Metoprolol,Метопролол;,МЕТОПРОЛОЛУ ТАРТРАТ,METOPROLOL TARTRATE,"ПАТ ""Фармак"", м. Київ, Україна","таблетки по 0,05 г; 0,1 г;",0.05 g tablets; 0.1 g;,https://compendium.com.ua/info/166261/metoprolola‐tartrat/
C07AB02,Metoprolol,Метопролол;,МЕТОПРОЛОЛ,METOPROLOL,"ПАТ
""Київмедпрепарат"",
Україна",таблетки по 25 мг; 50 мг;,"tablets 25 mg; 50 mg
;",https://compendium.com.ua/info/168130/71435/
C07AB03,Atenolol,Атенолол,АТЕНОЛОЛ,ATENOLOL,"ПАТ ""Монфарм"", м. Монастирище, Черкаська обл,
Україна","таблетки по 0,05 г;",0.05 g tablets;,https://compendium.com.ua/info/55547/21012/
C07AB03,Atenolol,Aтенолол,АТЕНОЛОЛ‐ ЗДОРОВ’Я,ATENOLOL‐ ZDOROVYE,"ТОВ
""Фармацевтична компанія
""Здоров'я"", Україна",таблетки по 50 мг;,"tablets, 50 mg;",https://compendium.com.ua/info/166173/180998/
C07AB05,Betaxolol,Бетаксолол,БЕТАКОР,BETACOR,"АТ ""Київський вітамінний завод"",
м.Київ, Україна","таблетки, по 20 мг;","tablets, 20 mg;",https://compendium.com.ua/info/171051/betakor/
C07AB05,Betaxolol,Бетаксолол,БЕТАК,BETAC,"Медокемі ЛТД, Кіпр","таблетки, по 10 мг; 20 мг;","tablets, 10 mg; 20 mg;",https://compendium.com.ua/info/166898/363768/
C07AB05,Betaxolol,Бетаксолол;,ЛОКРЕН®,LOKREN®,"САНОФІ ВІНТРОП
ІНДАСТРІА ‐ ТУРЗ","таблетки, по 20 мг;","tablets, 20 mg;",https://compendium.com.ua/info/_5688/
C07AB07,Bisoprolol,Бісопролол,БІКАРД®,BICARD®,"Лабораторіос Нормон С.А., Іспанія","таблетки, по 10 мг; 5 мг;","tablets, 10 mg; 5 mg;",https://compendium.com.ua/info/211180/bikard‐sup‐sup‐/
C07AB07,Bisoprolol,Бісопролол,БІПРОЛОЛ,BIPROLOL,"ПАТ ""Науково‐ виробничий центр ""Борщагівський хіміко‐
фармацевтичний
завод"", Україна","таблетки по 5 мг; 10
мг;",5 mg tablets; 10 mg;,https://compendium.com.ua/info/169573/biprolol/
C07AB07,Bisoprolol,Бісопролол,БІПРОЛОЛ‐ ЗДОРОВ’Я,BIPROLOL‐ ZDOROVYE,"ТОВ
""Фармацевтична компанія
""Здоров'я"", Україна","таблетки, по 10 мг; 5 мг, 2,5 мг;","tablets, 10 mg; 5 mg,
2.5 mg;",NA
C07AB07,Bisoprolol,Бісопролол,БІСОПРОЛ®,BISOPROL,"АТ ""Фармак""","таблетки, по 10 мг; 5 мг; 2,5 мг;","tablets, 10 mg; 5 mg;
2.5 mg;",https://compendium.com.ua/info/169191/101789‐289658/
C07AB07,Bisoprolol,Бісопролол,БІСОПРОЛОЛ‐ АСТРАФАРМ,BISOPROLOL‐ ASTRAPHARM,"ТОВ ""АСТРАФАРМ"",
м.Вишневе, Києво‐ Святошинський р‐н,
Україна","таблетки, по 10 мг; 5 мг;","tablets, 10 mg ; 5 mg;",https://compendium.com.ua/info/171784/115212‐115213‐614194/
C07AB07,Bisoprolol,Бісопролол,БІСОПРОЛОЛ АУРОБІНДО,BISOPROLOL AUROBINDO,"Ауробіндо Фарма Лімітед, Індія","таблетки, по 10 мг; 5 мг; 2,5 мг;","tablets, 10 mg; 5 mg;
2.5 mg;",https://compendium.com.ua/info/557377/378561/
C07AB07,Bisoprolol,Бісопролол,БІСОПРОЛОЛ КРКА,BISOPROLOL KRKA,"КРКА, д.д., Ново место, Словенія","таблетки, по 10 мг; 5 мг; 2,5 мг;","tablets, 10 mg ; 5
mg; 2.5 mg;",https://compendium.com.ua/info/220188/298382/
C07AB07,Bisoprolol,Бісопролол,БІСОПРОЛОЛ САНДОЗ®,BISOPROLOL SANDOZ®,"Салютас Фарма ГмбХ, Німеччина","таблетки, по 10 мг; 5 мг;","tablets, 10 mg; 5 mg;",https://compendium.com.ua/info/169773/160194‐328378/
C07AB07,Bisoprolol,Бісопролол,БІСОПРОЛОЛ‐КВ,BISOPROLOL‐KV,"ПАТ ""Київський вітамінний завод"",
м. Київ, Україна","таблетки, по 10 мг; 5 мг;","tablets, 10 mg; 5 mg;",https://compendium.com.ua/info/171784/115212‐115213‐614194/
C07AB07,Bisoprolol,Бісопролол,БІСОПРОЛОЛ‐ТЕВА,BISOPROLOL‐TEVA,"Ніше Дженерікс Лімітед, Ірландія","таблетки по 10 мг; 5
мг; 2,5 мг;","tablets 10 mg; 5 mg;
2.5 mg;",https://compendium.com.ua/info/555950/305988/
C07AB07,Bisoprolol,Бісопролол,БІСОСТАД,BISOSTAD,"СТАДА
Арцнайміттель АГ (випуск серії), Німеччина / СТЕЛЛАФАРМ ДЖ.В.
КО., ЛТД. В'єтнам","таблетки, по 5 мг;","tablets, 5 mg ;",https://mozdocs.kiev.ua/likiview.php?id=40172
C07AB07,Bisoprolol,Бісопролол,ДОРЕЗ®,DOREZ®,"АЛКАЛОЇД АД
Скоп’є","таблетки по 10 мг; 5
мг, 2,5 мг;","tablets 10 mg; 5 mg,
2.5 mg;",https://compendium.com.ua/info/173435/dorez‐sup‐sup‐/
C07AB07,Bisoprolol,Бісопролол,КОНКОР,CONCOR,"Мерк КгаА,
Німеччина","таблетки, по 10 мг;
5 мг;","tablets, 10 mg; 5 mg;",NA
C07AB07,Bisoprolol,Бісопролол,КОНКОР® КОР,CONCOR® СOR,Мерк Хелскеа КГаА,"таблетки, по 2,5 мг;","tablets, 2.5 mg;",https://compendium.com.ua/info/_5689/75666/
C07AB07,Bisoprolol,Бісопролол,"КОРОНАЛ® 5
КОРОНАЛ® 10","CORONAL® 5
CORONAL® 10","АТ ""Санека Фармасьютікалз"", Словацька
Республіка","таблетки, по 10 мг; 5 мг;","tablets, 10 mg ; 5 mg;",https://compendium.com.ua/info/171616/1479‐71570/
C07AB09,Esmolol,Есмолол,БІБЛОК,BIBLOCK,"ТОВ ""Юрія‐Фарм"",
м.Київ, Україна","‐ розчин для інфузій, 10 мг/мл;
по 50 мл або 250 мл у контейнері полімерному;
‐ розчин для ін`єкцій, 10,0 мг/мл,
по 10 мл;","‐ solution for infusion, 10 mg / ml; 50 ml or 250 ml in a polymer
container;
‐ solution for injections, 10,0 mg / ml, on 10 ml;",https://compendium.com.ua/info/326498/biblok/
C07AB12,Nebivolol,Небіволол,НЕБІАР®,NEBIAR,"ПАТ
""Київмедпрепарат"",
м. Київ, Україна",таблетки по 5 мг;,tablets 5 mg;,https://compendium.com.ua/info/349028/501756/
C07AB12,Nebivolol,Небіволол,НЕБІВАЛ,NEBIVAL,"АТ ""Київський вітамінний завод"",
м.Київ, Україна",таблетки по 5 мг;,tablets 5 mg;,https://compendium.com.ua/info/170065/nebival/
C07AB12,Nebivolol,Небіволол,НЕБІВОЛОЛ САНДОЗ®,NEBIVOLOL SANDOZ®),"Салютас Фарма ГмбХ, Німеччина",таблетки по 5 мг;,tablets 5 mg;,https://compendium.com.ua/info/200432/nebivolol‐sandoz‐sup‐sup‐/
C07AB12,Nebivolol,Небіволол,НЕБІВОЛОЛ ‐ ДАРНИЦЯ,"NEBIVOLOL ‐
DARNITSA","ПрАТ
""Фармацевтична фірма ""Дарниця"",
Україна",таблетки по 5 мг;,tablets 5 mg;,https://compendium.com.ua/info/277665/
C07AB12,Nebivolol,Небіволол,НЕБІКАРД,NEBICARD,"АТ Фармацевтичний завод ТЕВА,
Угорщина",таблетки по 5 мг;,tablets 5 mg;,https://mozdocs.kiev.ua/likiview.php?id=50004
C07AB12,Nebivolol,Небіволол,НЕБІВОЛОЛ‐ТЕВА,NEBIVOLOL‐TEVA,"Балканфарма‐ Дупниця АТ,
Болгарія",таблетки по 5 мг;,tablets 5 mg;,https://compendium.com.ua/info/347792/nebivolol/
C07AB12,Nebivolol,Небіволол,НЕБІКАРД,NEBICARD,"Торрент Фармасьютікалс
Лтд, Індія",таблетки по 5 мг;,tablets 5 mg;,https://mozdocs.kiev.ua/likiview.php?id=50004
C07AB12,Nebivolol,Небіволол,НЕБІЛЕТ®,NEBILET®,"БЕРЛІН‐ХЕМІ АГ,
Німеччина",таблетки по 5 мг;,tablets 5 mg;,https://compendium.com.ua/info/56981/21069‐21070‐712220/
C07AB12,Nebivolol,Небіволол,НЕБІТРИКС,NEBITRIX,"Гленмарк Фармасьютикалз
Лтд., Індія",таблетки по 5 мг,tablets 5 mg;,https://mozdocs.kiev.ua/likiview.php?id=41331
C07AB12,Nebivolol,Небіволол,НЕБІНОРМ,NEBINORM,"ТОВ НВФ
""МІКРОХІМ"",
Україна",таблетки по 5 мг;,tablets 5 mg;,https://mozdocs.kiev.ua/likiview.php?id=52258
C07AB12,Nebivolol,Небіволол,"НЕБІМАК ‐ 2,5
НЕБІМАК ‐ 5
НЕБІМАК ‐ 10","NEBIMAC‐ 2,5
NEBIMAC‐ 5
NEBIMAC‐ 10","Маклеодс Фармасьютикалс
Лімітед, Індія","таблетки по 2,5 мг; 5 мг; 10 мг;","tablets 2.5 mg; 5 mg
; 10 mg ;",https://mozdocs.kiev.ua/likiview.php?id=52256
C07AB12,Nebivolol,Небіволол,НЕБІТЕНЗ,NEBITENS,"Актавіс Лтд, Мальта",таблетки по 5 мг;,tablets 5 mg;,https://compendium.com.ua/info/220381/nebitenz/
C07AB12,Nebivolol,Небіволол,НОЛЕТ,NOLET,АНТИБІОТИКИ СА,таблетки по 5 мг;,tablets 5 mg;,https://mozdocs.kiev.ua/likiview.php?id=50102
C07AB12,Nebivolol,Небіволол,ОНОРІО,ONORIO,"Салютас Фарма Гмбх Німеччина/
Туреччина",таблетки по 5 мг;,tablets 5 mg;,NA
C07AG02,Carvedilol,Карведилол,КАРВЕДИЛОЛ‐ ЗЕНТІВА,CARVEDILOL‐ ZENTIVA,"ТОВ ""Зентіва"",
Чеська Республіка","таблетки по 12,5 мг; 25 мг;",tablets 12.5 mg; 25 mg;,https://compendium.com.ua/info/280705/karvedilol/
